"","CD141+","CD1C+","IL7R-CCR7+","IL7R+CCR7+","IL7R+CCR7-"
"OR4F5",0,0,0,0,0
"SAMD11",4.13589987532897,2.23621421266124,3.1643304222569,3.54780701297692,4.07873017818947
"NOC2L",56.320014584938,45.8701196964339,53.6534927540029,60.2934246361355,70.1139862194297
"KLHL17",4.808043715234,5.58789482883403,4.35979864353576,5.30736805858818,7.67434007292604
"PLEKHN1",0.320102529968613,0.837050076945443,0.653084909760144,1.37756003433631,0.733074044576659
"PERM1",1.05940475163677,0,0,0.412263054370096,0.165420462639577
"HES4",28.7953413172972,9.09032533089614,9.72259713992318,18.7162134029848,19.4203820420274
"ISG15",23.8264852103787,22.6563331336284,22.5872397213701,27.854504097638,41.0870244642505
"AGRN",2.59208513409399,2.73960334521579,4.38555805060768,10.4815975640871,5.52816180778776
"RNF223",1.19196959437576,0,0.243190003857845,2.2701370787557,0.198527747661378
"C1orf159",2.00821046245098,0.696608606766026,2.48760062788345,2.27222253551776,1.55292536813516
"TTLL10",0.459979947958955,0.730284568598411,0.17596273928644,1.2003484327446,1.77164490412399
"TNFRSF18",3.80612422449358,3.58548087443205,6.24607785820876,8.97016433354037,8.1307980974688
"TNFRSF4",2.23946222339023,0.688949119112853,3.09081635931589,11.0970161184516,9.10539843472141
"SDF4",55.6550828368893,49.3509367302338,60.998498096552,76.5103539071636,77.5005698777237
"B3GALT6",0.816394010984047,2.07382935108645,1.99876436732138,1.6744469719151,2.03960988144729
"UBE2J2",9.1897516592533,9.74168289510559,9.32555216406496,12.1591456323357,14.6247791021815
"SCNN1D",0.619587275864091,2.18830291278252,0.919348844397758,0.474483596021247,0.844322480613035
"ACAP3",10.9637387646969,11.6139595240566,8.24383469315548,10.1613498001372,13.4596809717686
"PUSL1",1.82171648734648,2.31379032059746,1.67252972520635,1.50122873389607,2.04805021161157
"CPTP",1.06437848286512,0.397612821593971,1.62868798358318,1.29944646797681,4.13646077052204
"TAS1R3",0.396235275590335,0,0,0.241871917575643,0
"DVL1",12.9584033752907,12.1241677833601,12.7339999135947,13.3673996833988,18.8106862742183
"MXRA8",3.69299955664437,1.02883140916032,1.46860711054187,2.10910709440698,3.64881064655382
"AURKAIP1",36.4044225978864,42.2189058068287,43.5110484194168,45.1740224132871,51.1309463078123
"CCNL2",92.670850683322,88.0297373308835,90.4499599034664,105.03577560828,110.192985741289
"MRPL20",14.8810648793398,8.26258839019666,13.3554751365418,14.3851240866915,18.8258137988593
"ANKRD65",0.171492145877663,1.02501096519837,0.17494227962845,0.31404927875839,1.14251066884097
"VWA1",0,0,0,0.245907095667478,0
"ATAD3C",0.342121655206645,0.298209616195478,0,0.355027338572236,0.52233369423684
"ATAD3B",14.6970688871953,12.9650143784731,14.7519018351624,13.1545357800866,20.4234192852879
"ATAD3A",48.5337860119346,39.8483449864127,42.3511944743799,39.663983890274,55.0589442108972
"TMEM240",0,0,0,0,0
"SSU72",24.3900215961662,20.5461042713627,23.2776555216117,24.8324501498918,27.1817311713924
"FNDC10",0,0.487433271939659,0,0,0
"MIB2",7.0855773944307,5.10061918190308,8.52074860899121,6.9613838871031,9.17403356895898
"MMP23B",0.797932659393823,0.29807841970793,0.406992861713702,0.328777678721278,0.996743799521181
"CDK11B",179.589151478582,159.67073046239,213.105978053773,252.793786862438,256.243884723321
"SLC35E2B",7.45356548548832,4.96345839806572,7.43822481126611,10.0492177930408,12.7515826695325
"CDK11A",144.872303981751,131.802433693354,180.158320828587,218.79386368542,234.102222357665
"NADK",33.5388144137563,19.0669981819377,31.4316312580413,34.3468197335309,41.7257921292585
"GNB1",105.354063183342,97.0844478778927,140.16259851613,162.277900280182,169.057839581927
"CALML6",0.781430820681671,0,1.19572784318213,0.071550736151416,0.813441999250196
"TMEM52",0.284457486637729,0,0.290180293185459,0,0.236888190747767
"CFAP74",0,0,0,0.0398362259181147,0.126808598750892
"GABRD",0.235179063122687,0.351417141076829,0.2399104706108,0.172271015152942,0.195850506251007
"PRKCZ",4.27535579183327,1.55275200889631,4.05849593394718,4.0669134834456,6.92299222724878
"FAAP20",2.40918500866905,2.09478869273262,1.75849364002485,2.80686865271821,3.00945222760341
"SKI",7.34578709202354,10.3078508124411,26.5888670846215,22.3428706481716,22.8236706741922
"MORN1",0.999879231058789,0.388458993735099,0.693596682079878,0.629882519195534,0.865978140367863
"RER1",14.0624764976534,13.8399444437796,15.8896528245484,15.1741371421309,16.488059101899
"PEX10",5.6842698867183,3.93394284927811,5.55447509207226,3.52825951910758,4.83335685893881
"PLCH2",0.0841156170486114,0.01571125702616,0.707915025607157,1.8253600913627,3.08216123667292
"PANK4",8.5677570103979,7.0645373420391,7.92498460780143,8.4871894451813,8.24405228701614
"HES5",0,0,0,0,0.578253868379695
"TNFRSF14",50.9638588770988,42.7611203309985,46.894376542269,32.0041817721519,43.0484388520383
"MMEL1",0.766718007037853,0.044064272112131,0.421153968699708,0.432022004701968,0.0982309511061241
"TTC34",0,0,0.0524787142429796,0.018841531496192,0.128522728404337
"PRDM16",0.208908933311398,0,2.69941651256726,0.901164196395427,0.50259005720029
"ARHGEF16",0,0.243585205103766,0.0831471125899015,0.0597049284944945,0
"MEGF6",0.611953362715603,2.02133502030383,1.83993846362458,1.41556407393752,1.77025040626709
"TPRG1L",6.4801866456788,0.842003622198996,7.47280368938163,6.12268600499662,4.84904434863719
"WRAP73",4.47223731293273,2.76216460913728,4.62304069406356,4.32426528199269,4.56854016264842
"TP73",0.10056747753228,0.225409959779873,0.273575269754619,0.233277828888163,0.0558331770001391
"CCDC27",0.317450572019048,0.0790586053671092,0.161918571996834,0.387559530005686,0.749031061013185
"SMIM1",0,0,0,0,0.395806893136206
"LRRC47",11.2954691743381,7.27642028959524,11.1130184956005,11.5468882202691,17.224436197232
"CEP104",11.0535354076312,12.5596379135899,15.8273896505192,15.2237182217584,16.0129920265805
"DFFB",5.38955058145344,3.50145864597481,4.78085154870927,5.62146585983829,6.4396861032114
"C1orf174",2.73832467936743,2.85650560344766,2.10823786389071,2.61138989150253,3.87237691940231
"AJAP1",0,0,0,0,0.0304393209231714
"NPHP4",2.27280818897514,2.1483231832489,2.33609791584658,2.06845586782256,2.71004623960723
"KCNAB2",25.8719663449857,27.3954983849912,31.5593743930274,25.9886022490345,33.6449559215569
"CHD5",0.229234192972973,0.308280598178217,0.374153599464204,0.15112470449615,0.152719828534658
"RPL22",721.223728869797,647.976632075887,630.574805594962,696.931673341637,651.552266636563
"RNF207",9.81216337165177,2.95809447682439,3.47700769524864,18.5992525775223,11.6118382157203
"ICMT",1.93929326022634,2.2078443926554,1.03625687590913,1.65731032011495,3.46069041188133
"HES3",0,0,0,0,0
"GPR153",0.94417307360475,0,0.906511293165354,6.83479555268234,2.96011583382217
"ACOT7",6.10210971638699,2.79293118718093,3.02831703640053,6.04034645759347,4.99010373298515
"HES2",0,0,0,0.245710018283612,0
"ESPN",0.261227269883647,0.146377412068874,0.166551702195601,0.490338441805048,0.924556559539536
"TNFRSF25",1.44660934692617,0.951104482894,1.53474120351942,8.8587225750266,10.0230670519147
"PLEKHG5",0.655238777023901,0.195818568785007,1.03605267394988,1.30791540377244,1.7734093528451
"NOL9",2.85994251339981,3.0193059179863,3.96396705177586,4.92993205656246,5.87653566185319
"TAS1R1",2.35179063122687,1.81565522889695,2.71898533358906,2.58406522729414,1.95850506251007
"ZBTB48",13.4930005142954,14.2186980758681,11.9668600099562,14.6965577515131,15.6389869495196
"KLHL21",22.3066029331015,27.6618911567756,23.4926618260885,33.1248129942235,20.053661487181
"PHF13",4.80401633097556,1.47249605649796,2.1361873362509,5.77475281221186,4.51355342197376
"THAP3",9.13086177884191,9.06815017578312,8.74659843442949,14.1517762123724,14.4660032082767
"DNAJC11",44.2899131482034,39.8215146741772,54.1898424472858,50.8695328844735,63.923786600963
"CAMTA1",5.78475330545889,3.71417060099541,5.04823471678158,9.64999280057166,7.43306645771537
"VAMP3",14.3748941843468,15.7722633817939,15.2506566114941,13.4780847565456,13.0654994974494
"PER3",1.51160406345408,0.690164346952468,3.28392082626414,1.59938290793679,2.56426567265795
"UTS2",3.54436251915553,3.59383381125807,7.2313382721683,4.72894036235581,8.96035202803322
"TNFRSF9",0.501338909477772,0.96316383382801,1.82651787765607,8.49888481895584,2.92250655923947
"PARK7",113.119853881069,97.7998155221775,92.8182283309955,135.273353120993,134.609515492859
"ERRFI1",1.6247918073359,0.0809283621591168,1.54698122855392,5.49464699405876,3.69842112234342
"SLC45A1",0.392507993161825,0.35190386841904,0.48048551316235,0.0575032058890016,1.04598275914665
"RERE",28.6371757179381,27.1531223442766,32.4301893321561,28.4193110987341,34.0900084699592
"ENO1",394.484535686662,355.969759905999,412.646494363098,523.046836230496,501.765038439915
"CA6",0,0,0,0,0
"SLC2A5",0.203238562842017,0.253074946958063,0.552873016390404,1.40189946381595,0.45133695030861
"GPR157",8.77815046627999,2.52245810869742,7.62014962386068,52.368079687453,23.2309616502544
"H6PD",3.50248008008141,1.30839829030472,4.21805899835832,18.3333619898136,9.78332216677864
"SPSB1",0.133242795680441,0.398197030852851,1.56311929308923,1.41522436074512,0.499323829630836
"SLC25A33",30.8832703285915,27.3368615888421,16.0223342526135,22.7084845059987,22.5834842708802
"TMEM201",1.17164143075075,2.74767240968857,1.89242040469742,1.56151829439953,1.62618335939682
"PIK3CD",48.0851302005547,29.7998627711499,32.1416377808834,37.2029758898687,51.761940242117
"CLSTN1",31.9330777106964,21.5423322240179,35.4877605143903,49.3517566503841,55.6312675996653
"CTNNBIP1",14.5981469370494,13.3923714788093,14.8918371185368,7.06254409172087,14.30559199478
