,CD141+,CD1C+,IL7R-CCR7+,IL7R+CCR7-,IL7R+CCR7+
RPS13,158.108394541447,198.197997337237,143.20003479607,115.463659857239,102.918347985932
PIK3C2A,39.4411418547652,36.8493264995602,36.4693972365533,29.4859400255974,32.6924583056537
NUCB2,18.110731251688,26.0693988769742,296.472640691149,163.329556907343,51.9591208517472
NCR3LG1,0.273554868658109,0.898862238736539,2.8314634761045,0.982967357754693,1.62285877604564
KCNJ11,0.961924446859107,0.785278604595592,0.392375088448938,3.03867466110857,5.21746057437294
ABCC8,0,0,0.649172948047565,0.07181995879457,0
USH1C,0,0,0,0.099265024614517,0
OTOG,0,0.046989124084868,0.381529722291418,0,0.455291521780886
MYOD1,0,0,0,0,0
KCNC1,0.536825719697491,0.102256966028217,0.638675972053647,0.098922105407355,0.283085139881645
SERGEF,15.0869181418124,9.7710005791234,25.9367552398504,8.75731807101782,9.84531234740148
TPH1,0.665203656131251,0.044721518825529,0.726235655175754,0.086526071935584,0
SAAL1,19.8630907860175,17.7023795508418,22.5225856959192,17.6007558823338,16.5624632011568
MRGPRX3,0,0.578066088253711,2.88838548739896,0.279606938948646,0
MRGPRX4,0,0,0,0,0
SAA4,0,0,0,0,0
SAA2-SAA4,0,0,0.846009275498249,0,0
SAA2,0,0,0,0,0
SAA1,3.45322793023706,2.63114525398617,3.28671838794875,3.18167111574898,7.28398417441869
HPS5,178.05152941322,179.051724975765,34.003970512969,70.4124639981776,134.910245515587
GTF2H1,49.9042196727569,59.3927292011178,30.7996632333719,37.2866269343059,52.7994378142444
LDHA,282.747633766126,405.847005576133,139.230035189492,223.643812731799,385.335298669078
LDHC,0.210160649692232,0.240194047649096,0.900121563286681,0.929442827130489,5.4858049070167
LDHAL6A,0.085128878790647,0,0,0,0.13467343129907
TSG101,32.8007180193005,33.2281467336809,49.9396696970658,29.6084374695728,33.7470079505742
UEVLD,17.0845555895772,15.1007580573007,19.7750641358326,21.4048871390891,14.208474342949
SPTY2D1,50.8107555113941,44.4966973084094,97.4018720603468,55.2458378690405,38.1613146739919
TMEM86A,3.37245185857173,6.04844049518445,6.96287765959801,2.69613445596876,1.31328020113842
IGSF22,1.68256587078014,3.6381385135034,5.90799681308233,0.955290015852332,1.36687551610173
PTPN5,0,0.045771014173627,0.11435053514557,0.265669827565723,0
ZDHHC13,13.7536379064817,7.0006833983105,22.0648438731086,10.4093885093124,28.6221028919919
CSRP3,0.300331897070413,0,0,0,0
E2F8,0,0,0,0,0
NAV2,0.287768994186422,0.346203322892917,2.27043046535934,3.18167111574898,8.50596836157446
HTATIP2,19.2044906881793,25.9969050982094,20.6756560729204,19.4056912403002,44.8250188066435
PRMT3,22.5901555496645,10.4470351445255,22.6506719707251,13.2228203009648,24.2072228770751
SLC6A5,0,0.070734682291939,0.706870836879617,0,0
NELL1,0.580524755648254,1.80088982231536,15.0367830561858,0.871079104679061,1.37758059147246
ANO5,0.255238586147957,0.656356343249811,5.69370372912318,1.12880157845703,1.05993845798946
FANCF,1.80487580682629,2.12174221992209,2.87125916796823,1.88150122551143,1.46844199580911
GAS2,0.9980993167588,1.56851001078872,5.96701441535539,3.37956763314963,2.46716841413569
SVIP,2.42605173324179,1.29076347190491,6.21060504810001,3.97724002859824,1.25727614923969
LUZP2,0.447698457795394,0.511677637376985,5.85902763132459,0.27499473545904,1.10173243853836
ANO3,0.171540218612426,0.457460481658959,3.06129005695714,0.316101091369866,0.361834278794175
MUC15,0,0,0,0,0
SLC5A12,0.116724963177419,0,0.333289974387698,0,0
FIBIN,0,0.259652492169688,0,0,0.359407113869343
CCDC34,10.4970543633445,7.9531704419144,10.1031592557492,21.7121566670633,8.11655449250663
LGR4,0.590289553532243,1.0318114964863,0.495729409854258,0.307126612435075,0.439451726611222
LIN7C,6.19857359917767,4.56191926569035,9.11769894097132,6.33415881469394,8.54320216169588
BDNF,0,0,0,0,0
KIF18A,8.1586948448162,4.15026808017501,13.3984997265793,7.82126736358601,4.02877820058425
METTL15,9.623131317548,5.95204432294763,26.9924599930826,9.73215844051707,19.1640050333325
KCNA4,0,0,0,0,0.498115127541445
ARL14EP,35.0859647504713,32.7797849254618,21.451250192343,31.7998276328133,38.3633718189049
MPPED2,0.805697013124117,0.368334656453475,5.82804096240517,1.90038572437562,2.12434728156273
DCDC1,0.083641064039747,0.095593945635421,2.41212287466623,0.07398110649082,0.582206751783181
DNAJC24,4.78446276227359,5.16993010094029,10.6392463886766,4.5845483628472,2.75236164388351
IMMP1L,9.71900958291143,4.58422206567843,24.0069212315265,11.7690616569593,4.39297749131681
ELP4,16.3693741735832,11.5653596309453,26.4861141836418,11.8463121939243,14.439128160083
PAX6,0.029785317352539,0.170209217232058,0.212618350593695,0,0.63612287377646
RCN1,0.975029062655171,0.766127588660679,0.870013690927611,1.44859614328806,1.97631629438272
WT1,0,0,0.152828809067639,0,0.931417560596482
EIF3M,39.2689615956128,42.4419616229499,39.0961523913815,29.3270149592815,23.2552079558884
CCDC73,1.1740974962806,0.511193935060171,2.55424971863446,0.370891947207309,5.3953511349087
PRRG4,2.54777033550944,2.59337904159284,2.04602677224477,2.99295716891974,25.5688590046643
QSER1,10.5924497712987,7.5693494331631,13.124103271609,7.36869232923794,9.98160567414794
DEPDC7,4.3684475395287,5.82485008967436,3.96881621334912,6.43987070090863,7.43441071169481
TCP11L1,13.6513430957207,18.3197163092662,42.3153516476377,15.5013149723167,28.3411583965205
CSTF3,24.1733600075484,20.6652227767347,31.2413788323162,20.2607013445658,22.2051056191599
HIPK3,66.8064868729027,64.4342113460075,48.7749648934136,44.8686393315515,182.841572150287
KIAA1549L,0.107230044107459,0.040851317569805,1.27574462513232,0.039519051851729,0.141364463930587
C11orf91,0,0,0,0,0
CD59,0.178181530192321,0.305467339027634,0.826750666940266,0.147752634776283,0
FBXO3,5.71318332142808,4.73044865736044,7.90402824604681,5.74955528397158,4.08538984634031
LMO2,110.036236081943,108.523634045534,39.2233737500381,61.0647524852819,82.2215735320408
CAPRIN1,104.703339443478,101.276122370134,108.769956873516,68.3755150430954,90.7691570623156
NAT10,77.9866600507825,67.9645599229297,113.317955484922,58.6903605891765,40.327576203169
ABTB2,11.2882639334237,3.89572720656685,14.409547084909,23.3951674421059,127.526938140164
CAT,275.129770705581,294.602089988588,293.72774741897,259.251060909725,71.9006441283302
