,CD141+,CD1C+,IL7R+CCR7-,IL7R+CCR7+
FO538757.1,28.2320606454158,23.7029467157753,27.0593414751968,24.0609153850815
SAMD11,1.85639663592349,3.49244859991808,3.69325948178148,1.81700440806649
NOC2L,50.798332426554,38.3568073292286,51.9576986015416,33.2768988740787
KLHL17,2.6129791824052,1.44573751009899,3.62559505180598,5.2954037892524
PLEKHN1,2.89046055801645,1.3612794945955,3.15517206752794,1.00198204606491
HES4,30.3148613438738,28.5365049231749,22.9369692920418,29.4525363000195
ISG15,60.1256197055406,64.7589110813449,50.8670600885677,53.8392679817766
AGRN,9.45120328568067,3.73142862425972,11.0602330304752,15.110431940603
C1orf159,1.36722574129452,1.71912871435767,3.01320478773024,2.84370386974247
TNFRSF18,20.5879089689115,14.9705063887896,37.756691048932,48.2081110773312
TNFRSF4,4.0972451027613,5.80584158435308,23.2445725757491,40.2453279085682
SDF4,71.1999870077897,70.9521242148337,124.845249587759,104.647183626402
B3GALT6,2.86683888118795,2.52496468274401,2.4272904094884,1.77179194692231
UBE2J2,9.07535638937108,10.900176616756,13.1234178560613,11.8074823165188
ACAP3,10.8451060139297,8.95482493980886,8.60010435600986,5.84329146046476
PUSL1,1.46219807345397,0.845137837362006,2.9436413555074,0
CPSF3L,9.76818799197011,9.8523845464684,11.9616334720649,8.26490538527311
DVL1,14.4326406523355,12.9610329874305,12.5633902997983,13.6944201656095
MXRA8,4.64723243990188,1.5971168449154,3.11517226232501,1.93316326248057
AURKAIP1,45.2473207610299,44.1127517685986,53.732231040396,40.3653680285468
CCNL2,49.9754887067933,51.078855986366,54.8274216194974,43.4287396066273
MRPL20,11.0957652586187,12.0091368586819,13.6653376384724,12.0142247527698
ATAD3B,13.383671034413,9.83499545767842,15.0692825663831,7.58737708966917
ATAD3A,42.3204562511441,39.2973030604294,57.7256989940321,26.3913821749278
SSU72,16.4890281987647,17.6181644010475,15.6585567279563,11.2314880491193
MIB2,4.74800540295519,5.39863485078884,7.822303000446,4.61931971568687
CDK11B,189.835246470958,177.155174218964,211.819604640548,182.567659295276
SLC35E2B,4.49778310602495,3.61240636643406,2.68806526126056,5.47773260408939
CDK11A,198.528283248311,149.901851916614,173.65316185034,184.370096081381
SLC35E2,1.46345800975348,1.50376190158887,1.34682414225329,1.33349975775211
NADK,21.4395284732287,16.7113110261824,18.9679264765227,41.3476316112841
GNB1,202.54396993904,197.450074047562,292.612226274132,274.793162349223
PRKCZ,1.42983669650089,0.918259157147735,2.20684437766805,2.03218474937274
FAAP20,1.58365722544228,1.60585995877155,2.10754042399358,1.49090571478662
SKI,38.4966480670942,43.9969074259607,51.021951637425,19.2042274037463
MORN1,0.561786121411938,0.680339562175013,0.206805280659304,0.500770069066222
RER1,7.9538173207758,7.33093835840479,10.0418980854141,5.48669240933415
PEX10,3.12169062171749,3.14597671437482,2.93919753693957,2.79691119282317
PLCH2,0.548561625344938,0.455271203671837,0.788331237109284,1.3691493098794
PANK4,3.07322497715218,3.22651131218979,4.70563002448678,3.81668767129683
TNFRSF14,36.7218267491382,28.7508581060448,39.9853658065827,28.8775876565394
FAM213B,4.31849422109396,3.1200653770306,2.52121004665535,6.51200149973732
MMEL1,0.236694264101648,0.9576506594926,0.571804630634073,0.295381387773348
MEGF6,0.161573510300954,0.298841891915618,0.811882966388575,0.161307863986468
TPRG1L,9.79957395665911,6.09976658672669,2.97439472542699,8.15288523049421
WRAP73,1.6751628770245,1.61371608587128,1.00207683682433,0.597288824092978
LRRC47,3.92872645007337,9.08307960701586,7.3007650580958,6.91425298970785
CEP104,3.63894891607569,4.85201329808171,2.99543539042947,2.93136149190138
DFFB,0.11755203503963,0.81532871209071,1.66602494413307,0.391195884444703
C1orf174,2.64371526387554,1.27836407000549,2.60476034658577,3.01888574225359
NPHP4,6.650970403558,4.83271279221686,8.10185249039047,5.10219170885885
KCNAB2,41.1552337904242,40.4132462211776,59.4960059269226,19.3528407670046
RPL22,817.335581147805,808.649672396155,824.899332412803,685.709003382188
RNF207,2.34889852247752,1.11805896282143,5.8079720277507,8.59272007910971
ICMT,2.50163180067025,1.07105299246132,1.01469895458725,1.00209088321859
GPR153,2.7304498290746,0.687097199802068,4.48721419271063,22.7626985468303
ACOT7,4.96403659121036,2.72039841861498,1.42128483682986,4.95587511707408
TNFRSF25,0.638615381781144,0.8948222210286,3.96443426946881,4.9266418908149
PLEKHG5,0.854630474399389,0.151990468005349,0.550563025087589,2.8987784630944
NOL9,1.24756993172458,2.86030235826694,2.31063535827139,1.66069170196188
ZBTB48,12.5779111176148,20.5153941202394,16.4985508783743,10.8846150026499
KLHL21,42.9480558912612,50.0409326193335,52.2988539959196,48.0712199612403
PHF13,6.55014884731825,5.85747562924174,8.08109120767812,6.01499539927048
THAP3,6.59151673885036,11.1497002290695,11.515478717262,15.940487750821
DNAJC11,20.5849038734555,22.5542731078251,22.2843090185803,21.630735055513
CAMTA1,3.37805392030807,3.56426964141319,4.659074541016,3.52716721835178
VAMP3,15.7411119094643,18.3552353354189,26.7584678280028,14.810165929575
PER3,0.64596287435964,1.51508792652984,0.886552520950829,0.257025694542706
UTS2,1.52404145930776,2.93627593131495,2.53633080234054,0.211324409938722
TNFRSF9,2.04792318823187,3.71025433507082,6.66591792813483,19.5488264020663
PARK7,111.786247488687,103.115101823237,109.549338458685,132.871346814982
ERRFI1,12.606655415669,8.96160392816378,12.4270749332038,9.49369610870193
RERE,17.3222422423955,15.6048656223499,16.0126770940788,11.3350478370848
ENO1,471.822327400663,447.672729583065,586.693201979012,550.414981495867
SLC2A5,0.611734256750382,0.340481659987081,0.28461796904274,1.75301696760911
GPR157,32.1801978274906,21.9609061794425,44.8986843169402,80.8114063432031
H6PD,5.90559933998578,5.98047677777511,10.124256682769,47.1630580559587
SPSB1,1.06947135022831,2.00897186332078,4.69358121299156,4.44880421040553
SLC25A33,29.4509939577167,32.1117657520106,28.1738556844251,15.8601053293566
TMEM201,0.391840116798766,0.45296039560595,0.799355402488088,0.488994855555879
PIK3CD,7.36417458928382,5.675238942735,4.88293942970316,3.97489801173668
CLSTN1,15.4670057544588,14.8838923732623,16.9757504119608,30.2295405794048
CTNNBIP1,15.7364469548335,18.1648106895561,15.9305215345338,6.68776252585048
LZIC,7.57125141931159,10.7912869624604,8.44382574625,10.4306068007943
NMNAT1,0.345388788419042,0.532351284900876,1.01715898778071,0.574701546074133
UBE4B,3.96216551933257,3.7448133495183,3.41935159971897,3.62808683090731
KIF1B,10.5644584402249,8.75489112263318,8.64156420302655,7.63585335815968
PGD,109.973773198791,127.009575688075,153.500535389727,196.706011819179
APITD1-CORT,2.83822159467341,1.79670253176852,4.5057389486292,10.6258320617717
APITD1,3.66243200600756,2.31845916117801,5.14008192484569,13.6027177329015
DFFA,1.23658634262468,1.85301980020616,4.02737434842084,2.28620971428723
PEX14,2.35437690212093,5.56029680950008,11.4487696836244,11.0574880108587
CASZ1,9.43081318514391,7.94830416135713,13.714984928058,32.1021930574754
C1orf127,0.381970088667815,1.4718360461755,0.164046422252626,1.69485370590652
TARDBP,45.7474143149161,43.3114000410565,50.8320848002134,42.5488350225121
RP4-635E18.9,76.5431679586618,74.2522261564333,87.1232135209771,71.3194007084825
MASP2,0.481573439241391,1.03090845153789,1.03411761945772,1.24647100795189
SRM,12.4637363179005,4.24847258302272,9.26456059075817,6.97938389726489
EXOSC10,22.3181438639333,19.0392768383934,28.0961471173429,21.5942180965493
MTOR,10.1353347151505,9.57552071886053,11.8252915595561,8.79137619633389
UBIAD1,0.268551579458895,0.413921306020077,0.865020464446035,0.148950026839925
FBXO2,1.3649741231134,0,0.753713501982812,3.56905460797493
FBXO44,3.48256652715932,1.49103209327618,1.95268498265564,3.75584650893359
FBXO6,8.91766224954143,3.38782361042661,5.17846817633249,7.62815773843685
MAD2L2,30.5884611754972,23.5204182317624,29.2716263157741,22.6588211858754
C1orf167,7.62993921230451,7.74116913056736,5.45643036403636,17.0343114823162
MTHFR,18.5729683401806,19.9082612879795,14.6477080945152,38.3706804235715
CLCN6,7.40943794222838,8.00932954346243,6.86418300231716,14.8381534953111
NPPA,0.406184263931578,0.626055975355367,1.43917779772209,4.22412966741351
KIAA2013,5.96215609599049,7.31956940403288,5.0467524335626,4.15280483243188
PLOD1,7.18304803584264,8.17167799411215,6.8860181709191,1.49400796657994
MFN2,18.0214148389027,14.0997927286952,25.1050403396217,17.3524834405102
MIIP,2.90275603008175,4.34976856326309,4.98663906451868,9.1903644972411
TNFRSF8,2.19065670435008,2.15719661920201,1.56805207787221,1.8225458340301
TNFRSF1B,88.9995797540827,126.042445555863,138.989435329694,106.342961203677
VPS13D,7.57718355210123,6.23335760110103,7.91840847748516,6.74814365966585
DHRS3,5.5442278976695,11.028153347169,12.9834557101962,20.1333484648684
PRDM2,35.3595617401134,29.8659020084386,40.4200629953564,68.2085372907802
KAZN,0.690228588084005,0.151979486828555,0.359957507912968,2.47472167091414
TMEM51,12.3886200499131,15.4948853900453,31.661911549886,17.5723794164402
FHAD1,0.355272452638319,0.451757689362248,0.26320130680005,0.147786809137154
EFHD2,675.289764180897,669.046306653969,839.721811412685,566.526719064262
CTRC,1.43551065164574,3.41942219471204,2.73228351520806,1.35715009394812
CASP9,24.4342691774061,12.3761606363665,19.9124460316655,15.6593433227661
DNAJC16,0.159380956067979,0.696023926822736,0.308025271539046,0.751394874390314
DDI2,5.24799708177912,4.27550422193909,4.75729893464077,3.50850585427885
