Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
RNFT2,6,0,4,11,6
HRK,0,6,0,0,14
FBXW8,282,143,251,99,127
TESC,34,93,106,14,48
FBXO21,465,293,401,279,285
NOS1,2,0,4,376,88
KSR2,0,2,0,0,16
RFC5,82,76,77,43,62
WSB2,207,204,226,458,149
VSIG10,39,20,42,17,40
PEBP1,865,742,806,500,553
TAOK3,13875,11883,9026,15394,8343
SUDS3,2014,1785,1491,1273,1203
HSPB8,0,2,2,8,85
CCDC60,3,0,0,0,0
TMEM233,0,2,0,3,2
PRKAB1,881,702,770,514,693
CIT,167,92,275,600,384
BICDL1,12,5,129,2081,568
RAB35,488,618,317,543,323
GCN1,1025,769,784,585,573
RPLP0,19985,18708,15647,9560,10522
PXN,606,805,480,277,564
SIRT4,0,0,2,0,0
MSI1,0,0,10,0,4
COX6A1,414,425,378,197,282
AL021546.6,513,550,452,270,301
TRIAP1,154,110,120,62,116
GATC,594,531,412,305,299
SRSF9,3322,3416,2568,1791,2084
DYNLL1,1650,1599,1237,1049,1187
COQ5,326,342,235,163,230
RNF10,1722,1543,1346,1007,1190
POP5,166,119,131,55,114
CABP1,4,2,0,0,2
MLEC,1744,1399,1351,471,952
UNC119B,200,194,294,148,242
ACADS,94,52,52,56,106
SPPL3,453,229,201,434,435
HNF1A,0,7,2,10,4
C12orf43,148,163,122,74,115
OASL,10,10,22,6,7
P2RX7,86,196,220,947,265
P2RX4,212,241,361,611,232
CAMKK2,353,180,242,444,410
ANAPC5,1172,785,1000,646,766
RNF34,539,523,510,553,542
KDM2B,2921,2439,2935,11954,3442
ORAI1,41,62,69,141,78
MORN3,7,2,6,11,14
TMEM120B,417,276,402,420,261
RHOF,389,238,342,423,277
SETD1B,1169,649,472,677,541
HPD,4,2,7,0,2
PSMD9,560,648,525,348,365
RP11-87C12.2,539,608,505,334,404
WDR66,28,14,31,16,150
BCL7A,1184,934,637,377,748
MLXIP,1397,1727,1080,708,1236
LRRC43,25,8,26,3,12
B3GNT4,462,406,338,298,368
DIABLO,839,744,656,558,611
RP11-512M8.5,1139,996,831,747,697
VPS33A,396,337,274,269,180
CLIP1,6977,4971,4507,4186,3702
ZCCHC8,1048,684,586,623,581
RSRC2,14968,12083,12336,10216,10880
KNTC1,580,246,481,316,341
HCAR2,297,388,156,70,212
HCAR3,294,402,160,73,236
HCAR1,60,2,18,2,4
DENR,2470,1838,2136,1293,1471
CCDC62,204,91,81,128,84
HIP1R,190,22,1117,193,385
VPS37B,121,185,659,155,391
ABCB9,3961,4081,3579,1812,2822
OGFOD2,145,110,125,52,77
ARL6IP4,6927,7267,5972,3255,4761
PITPNM2,16,5,456,60,80
MPHOSPH9,871,483,617,312,516
C12orf65,797,574,660,637,506
CDK2AP1,2004,2266,1116,707,1101
SBNO1,2642,1782,1877,2424,1378
KMT5A,1588,1332,1477,1082,1037
RILPL2,6801,8037,3707,2799,3505
SNRNP35,335,395,280,221,213
RILPL1,150,89,182,63,169
TMED2,4981,5188,4901,3579,3710
DDX55,904,645,658,360,660
EIF2B1,501,433,330,234,291
GTF2H3,139,106,99,70,96
TCTN2,38,16,22,20,39
ATP6V0A2,1887,784,1010,1568,893
DNAH10,48,15,58,40,59
CCDC92,524,521,513,429,407
DNAH10OS,16,6,47,6,28
