Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
FO538757.2,0,0,0,0,0
FO538757.1,1855,1689,1258,757,994
SAMD11,119,92,96,31,44
NOC2L,3276,2694,2221,1106,1748
KLHL17,56,97,61,76,64
PLEKHN1,43,14,154,19,22
PERM1,0,6,17,10,0
HES4,108,40,46,43,48
ISG15,239,232,132,100,168
AGRN,167,68,166,822,226
RNF223,1,0,0,0,0
C1orf159,61,71,45,82,46
TTLL10,2,0,22,0,12
TNFRSF18,18,5,313,138,94
TNFRSF4,4,5,143,127,32
SDF4,2565,2541,2950,2159,1985
B3GALT6,86,80,109,85,66
FAM132A,2,0,4,0,4
UBE2J2,582,613,503,450,471
SCNN1D,27,21,18,2,13
ACAP3,590,453,518,289,346
PUSL1,95,83,62,41,33
CPSF3L,962,754,714,545,588
CPTP,75,46,64,50,36
TAS1R3,4,2,30,6,6
DVL1,381,297,319,241,284
MXRA8,115,76,92,32,57
AURKAIP1,891,1020,743,522,618
CCNL2,3034,2504,2752,2260,2769
MRPL20,576,491,460,309,389
ANKRD65,86,23,21,11,21
TMEM88B,0,0,0,0,0
VWA1,4,0,2,2,12
ATAD3C,6,10,8,10,11
ATAD3B,707,596,663,378,474
ATAD3A,1503,1203,1292,601,1024
TMEM240,0,2,3,0,0
SSU72,1877,2288,1226,873,1360
FNDC10,8,10,4,0,0
MIB2,387,349,298,130,260
MMP23B,8,8,8,0,3
CDK11B,9589,9173,6770,6889,7042
SLC35E2B,745,393,516,563,488
CDK11A,12458,10836,9269,9771,10143
SLC35E2,136,51,117,77,125
NADK,1491,1203,1194,1231,1307
GNB1,12756,12495,9254,10247,7764
CALML6,2,2,2,0,6
TMEM52,2,0,6,0,8
CFAP74,0,0,0,2,1
GABRD,0,2,0,0,0
PRKCZ,167,69,164,95,182
FAAP20,253,205,173,156,142
SKI,268,380,489,195,379
MORN1,72,54,66,38,50
RER1,637,574,408,390,398
PEX10,126,134,90,87,93
PLCH2,17,2,116,26,12
PANK4,266,217,228,159,153
HES5,0,0,3,2,2
TNFRSF14,1201,940,718,545,618
FAM213B,98,94,168,35,60
MMEL1,12,8,44,9,3
TTC34,3,9,15,2,2
PRDM16,4,6,41,12,73
ARHGEF16,2,0,14,0,0
MEGF6,16,24,53,7,23
TPRG1L,165,172,170,127,129
WRAP73,259,271,230,178,201
TP73,2,10,17,15,5
CCDC27,2,4,4,8,10
SMIM1,2,4,2,2,8
LRRC47,575,514,428,345,354
CEP104,1228,1115,766,613,706
DFFB,145,137,132,32,102
C1orf174,117,77,69,66,68
AJAP1,0,0,14,2,12
NPHP4,396,303,190,104,147
KCNAB2,4190,3853,1897,670,1914
CHD5,7,6,12,8,12
RPL22,32045,34054,24715,15247,18146
RNF207,405,113,395,727,175
ICMT,192,102,117,141,52
HES3,0,0,0,2,0
GPR153,125,15,216,534,123
ACOT7,315,108,248,162,126
HES2,0,2,2,2,0
ESPN,3,3,186,19,32
TNFRSF25,22,32,1006,96,168
PLEKHG5,9,5,226,133,741
NOL9,261,182,166,132,192
TAS1R1,20,2,4,2,0
ZBTB48,681,478,427,240,413
KLHL21,131,85,130,192,136
PHF13,103,74,84,140,64
THAP3,192,217,177,99,140
DNAJC11,2016,1661,1356,1104,1553
CAMTA1,354,328,314,399,379
VAMP3,252,312,227,185,255
PER3,37,36,59,46,71
UTS2,34,82,68,12,27
TNFRSF9,5,1,41,137,24
PARK7,3127,2801,2665,2147,1732
ERRFI1,141,38,80,88,60
SLC45A1,14,8,16,6,0
RERE,3094,1878,1697,627,1871
ENO1,19070,18363,13353,15070,10496
CA6,0,0,0,0,2
SLC2A5,10,18,166,121,239
GPR157,640,399,1028,3915,877
H6PD,692,559,617,3483,1123
SPSB1,2,0,36,48,17
SLC25A33,322,238,261,192,159
TMEM201,98,27,37,21,39
PIK3CD,1189,610,767,190,488
CLSTN1,1939,1265,1296,1947,1156
CTNNBIP1,677,838,350,183,338
LZIC,494,501,376,337,305
NMNAT1,169,148,81,106,80
RBP7,1,0,0,4,47
UBE4B,471,308,396,476,393
KIF1B,664,435,401,487,445
PGD,2149,2512,2431,4434,2129
APITD1-CORT,70,64,133,119,92
APITD1,71,64,132,119,83
CORT,2,0,5,2,7
DFFA,548,490,411,348,331
PEX14,274,309,312,284,304
CASZ1,528,328,361,963,502
C1orf127,0,4,0,0,2
TARDBP,3294,2716,2881,2199,2441
RP4-635E18.9,2146,1701,1842,1443,1474
MASP2,12,11,14,12,4
SRM,304,266,318,130,152
EXOSC10,1630,1456,1182,1119,1329
MTOR,1656,1174,1191,994,894
ANGPTL7,0,0,2,0,0
UBIAD1,110,42,103,40,32
DISP3,0,0,0,6,0
FBXO2,160,16,106,81,24
FBXO44,301,121,161,142,81
FBXO6,156,157,82,83,25
MAD2L2,867,892,593,597,441
DRAXIN,0,0,2,6,10
AGTRAP,21,33,7,7,12
C1orf167,324,224,215,335,197
MTHFR,1197,874,744,1320,643
CLCN6,317,266,160,293,232
NPPA,1,12,4,33,1
KIAA2013,413,346,238,143,188
PLOD1,498,536,348,183,296
MFN2,1103,943,847,689,596
MIIP,249,140,105,106,128
TNFRSF8,12,30,24,114,48
TNFRSF1B,2441,4852,1724,2396,1826
VPS13D,1216,868,1081,915,1018
DHRS3,177,58,128,180,202
AADACL3,0,0,0,0,0
PRAMEF11,0,0,0,0,0
HNRNPCL1,0,1,1,1,2
PRAMEF25,0,0,0,0,4
HNRNPCL3,0,0,0,0,1
HNRNPCL2,1,5,2,1,3
HNRNPCL4,1,4,1,1,2
PRAMEF17,0,0,0,0,0
LRRC38,0,0,0,0,2
PDPN,2,6,2,2,0
PRDM2,1828,1126,1444,2971,1682
KAZN,4,16,12,150,886
TMEM51,50,51,81,162,40
FHAD1,10,24,14,4,10
EFHD2,19567,19332,10610,8482,7538
CTRC,10,4,2,2,9
CELA2A,0,0,0,0,1
CELA2B,18,13,4,4,4
CASP9,251,185,146,88,80
DNAJC16,149,124,91,90,116
AGMAT,0,1,4,0,11
DDI2,1520,807,583,505,605
RSC1A1,233,126,71,72,67
PLEKHM2,2307,2192,1735,2946,1883
SLC25A34,20,5,4,41,14
FBLIM1,2,4,7,6,22
UQCRHL,55,97,82,35,65
SPEN,8114,5482,4271,6716,5162
ZBTB17,1654,1508,1147,1807,1259
HSPB7,2,4,6,2,2
CLCNKA,0,0,2,0,0
FAM131C,0,0,2,4,0
EPHA2,221,110,52,32,128
ARHGEF19,75,73,46,24,57
RSG1,9,6,9,6,18
FBXO42,568,594,350,372,375
SZRD1,1310,1267,1065,1154,1027
SPATA21,499,496,389,453,414
NECAP2,933,912,855,1727,796
NBPF1,541,305,410,271,387
FAM231A,0,0,0,0,0
CROCC,1663,1577,1484,584,1752
MFAP2,7,2,12,6,10
ATP13A2,180,127,209,42,331
SDHB,543,643,362,205,320
PADI2,528,709,163,226,312
PADI1,1,0,0,0,0
PADI3,0,0,0,0,0
PADI4,4,8,6,2,16
PADI6,0,2,0,0,0
RCC2,1828,1501,1201,776,877
ARHGEF10L,2,6,12,24,14
IGSF21,5,2,12,28,1
KLHDC7A,0,0,2,0,0
RP13-279N23.2,749,523,861,963,762
ALDH4A1,76,63,65,90,49
IFFO2,1106,782,1283,1395,1241
UBR4,4420,3115,3004,4496,3245
EMC1,719,497,466,386,373
MRTO4,284,275,174,142,202
AKR7L,4,9,4,0,19
AKR7A3,10,8,2,2,2
AKR7A2,307,226,187,80,154
PQLC2,176,84,82,37,64
CAPZB,3307,2979,2137,1835,1658
MINOS1,278,189,195,152,125
MINOS1-NBL1,238,164,166,141,132
NBL1,0,7,35,28,28
HTR6,8,1,7,0,0
TMCO4,277,260,229,125,181
OTUD3,399,312,263,314,277
PLA2G5,0,0,0,0,0
PLA2G2D,0,0,67,12,0
PLA2G2F,0,0,0,0,0
UBXN10,0,2,10,6,4
VWA5B1,0,0,0,0,1
CAMK2N1,4,0,12,6,25
MUL1,172,187,200,102,125
CDA,0,0,0,0,2
PINK1,212,271,359,185,241
DDOST,869,934,986,535,664
KIF17,21,46,24,20,179
HP1BP3,4683,4282,3881,3442,3104
EIF4G3,8047,5781,3987,1043,3323
ECE1,3154,568,1417,910,1048
NBPF3,44,24,84,9,62
ALPL,4,0,8,10,20
RAP1GAP,4,6,14,46,47
USP48,3593,2862,3369,2348,2770
LDLRAD2,136,77,57,48,135
HSPG2,216,150,107,174,401
CDC42,3103,3359,2404,2880,1988
WNT4,4,0,0,4,10
ZBTB40,1908,1273,1410,1116,1235
C1QA,36,142,206,179,99
C1QC,19,110,340,212,101
C1QB,70,419,401,290,299
EPHB2,6,4,6,10,12
KDM1A,1834,1571,1425,1225,1427
LUZP1,645,842,759,2194,996
HNRNPR,11888,10959,9870,6859,7520
ZNF436,56,35,71,84,89
TCEA3,72,148,86,18,76
ASAP3,4,4,19,16,63
E2F2,18,10,42,22,26
ID3,2,8,16,12,32
MDS2,0,0,2,0,3
RPL11,13220,13640,10237,6296,6937
TCEB3,1786,1247,1699,1514,1105
PITHD1,1278,1056,978,676,829
LYPLA2,219,226,152,125,144
GALE,133,124,185,80,116
HMGCL,146,114,87,114,115
FUCA1,250,76,364,158,97
CNR2,183,19,112,34,50
PNRC2,3006,2488,1913,1624,1648
SRSF10,4427,3228,3689,2392,3004
MYOM3,0,0,0,0,0
IL22RA1,0,0,0,0,0
IFNLR1,77,58,129,57,149
GRHL3,2,1,2,4,1
STPG1,29,29,30,38,30
NIPAL3,526,264,490,413,509
RCAN3,520,469,589,578,215
NCMAP,4,10,128,4,15
SRRM1,8397,7004,5701,4658,5321
CLIC4,99,184,285,355,166
RUNX3,3458,2573,1956,1336,1288
SYF2,9443,9230,7146,5549,6058
RSRP1,8249,6683,7528,5400,5988
RHD,13,6,4,7,7
TMEM50A,360,465,425,467,314
RHCE,1,1,0,1,1
TMEM57,1289,1173,1185,1112,1089
LDLRAP1,155,149,344,106,391
MAN1C1,54,78,149,49,69
SEPN1,510,496,236,150,253
RP1-317E23.6,183,207,135,92,113
MTFR1L,330,433,249,208,220
AUNIP,62,98,52,47,44
PAQR7,200,324,136,303,183
STMN1,2923,1453,5608,2577,3544
PAFAH2,77,36,81,47,69
EXTL1,2,0,0,0,0
SLC30A2,0,0,0,0,4
TRIM63,0,0,0,2,0
PDIK1L,72,24,39,20,52
FAM110D,0,0,0,0,14
RP11-96L14.7,96,72,60,60,71
ZNF593,95,72,60,60,67
CNKSR1,18,0,11,6,14
CEP85,983,683,660,444,471
SH3BGRL3,562,678,389,228,333
UBXN11,807,1238,970,295,666
CD52,314,379,500,105,233
AIM1L,0,1,7,0,1
ZNF683,0,0,14,0,0
DHDDS,297,302,278,283,260
HMGN2,7869,7467,6830,4800,4970
RPS6KA1,2390,2091,1187,432,888
ARID1A,7027,4818,4952,5163,3741
PIGV,21,21,57,37,39
ZDHHC18,604,400,524,894,332
SFN,12,2,28,8,16
GPN2,247,140,162,82,233
GPATCH3,482,473,302,292,400
NUDC,8073,7853,6299,3898,5473
NR0B2,0,0,0,0,8
KDF1,0,0,8,0,0
TRNP1,2,0,0,0,4
FAM46B,22,14,6,2,2
AL137860.1,0,0,0,0,0
SLC9A1,178,134,124,128,127
WDTC1,794,707,652,446,570
TMEM222,49,45,51,45,37
SYTL1,907,680,1196,120,557
MAP3K6,381,1009,264,992,655
FCN3,0,1,0,0,0
GPR3,28,10,10,2,17
WASF2,4366,3535,2417,2441,2648
AHDC1,306,298,294,142,296
FGR,8096,6835,3530,1925,2772
IFI6,93,155,69,85,96
FAM76A,265,237,156,223,176
STX12,812,590,348,298,267
PPP1R8,571,600,477,335,398
AL109927.1,29,15,15,6,24
THEMIS2,11210,10985,5836,6179,5276
RPA2,1364,1141,1107,1056,766
SMPDL3B,76,8,47,0,19
XKR8,50,69,38,12,46
EYA3,338,511,354,349,267
PTAFR,268,792,154,152,207
DNAJC8,7784,8187,6308,4134,4664
ATPIF1,2607,2745,2295,956,1658
SESN2,1212,1238,705,354,438
MED18,42,64,46,12,20
PHACTR4,1463,1210,843,818,808
RCC1,848,967,639,542,538
TRNAU1AP,216,214,298,221,155
TAF12,529,488,386,295,279
RAB42,4,4,14,6,0
GMEB1,368,398,373,315,313
YTHDF2,506,426,407,269,436
OPRD1,0,0,4,0,0
EPB41,2245,1565,1625,586,1094
TMEM200B,19,3,31,10,23
SRSF4,13521,12511,9705,8843,9457
MECR,49,46,36,2,23
PTPRU,2,0,6,6,6
MATN1,16,26,28,18,28
LAPTM5,4565,6363,2358,1089,2380
SDC3,10,10,184,235,128
PUM1,2056,1455,1335,1625,1096
NKAIN1,0,2,0,0,0
SNRNP40,392,253,310,197,269
ZCCHC17,1741,1809,1442,1130,1296
FABP3,20,10,20,38,20
SERINC2,0,0,0,0,12
TINAGL1,6,6,6,71,281
HCRTR1,16,12,16,9,13
PEF1,171,135,113,135,88
COL16A1,0,18,6,4,27
ADGRB2,4,0,10,7,5
SPOCD1,3,0,2,2,6
PTP4A2,11382,8216,6861,7490,5857
KHDRBS1,3701,3258,2837,3128,2215
TMEM39B,99,132,51,46,44
KPNA6,617,570,476,367,416
TXLNA,1850,1460,1224,1327,1193
CCDC28B,82,85,119,324,83
IQCC,41,22,89,26,40
DCDC2B,18,15,7,17,18
TMEM234,57,62,54,38,62
EIF3I,1424,1374,1066,644,891
FAM167B,3,0,16,0,0
LCK,4,2,423,154,160
HDAC1,2056,1549,2116,1118,1461
MARCKSL1,4554,3770,4169,16326,5045
TSSK3,39,51,28,19,33
FAM229A,59,63,46,21,48
BSDC1,658,589,528,451,628
RP1-27O5.3,12,5,26,8,36
ZBTB8B,2,0,4,2,0
ZBTB8A,18,13,31,10,66
ZBTB8OS,382,390,315,222,266
RBBP4,1298,1071,895,706,781
SYNC,65,30,38,64,82
KIAA1522,185,109,69,56,92
YARS,1402,1291,1130,645,961
S100PBP,905,543,851,421,622
FNDC5,0,0,0,0,2
HPCA,0,0,0,3,2
TMEM54,0,0,0,10,5
RNF19B,786,938,1097,2687,1002
AK2,1167,1115,724,369,621
AZIN2,8,2,17,6,43
TRIM62,166,149,142,115,150
ZNF362,1806,968,655,236,621
A3GALT2,9,4,0,0,0
PHC2,2840,3721,1344,476,1501
ZSCAN20,91,86,45,140,69
CSMD2,0,0,0,0,0
SMIM12,623,728,512,610,541
GJB5,8,2,0,0,0
GJB4,0,0,0,0,0
GJB3,8,2,0,8,6
DLGAP3,10,0,22,32,25
RP11-244H3.4,779,588,464,375,403
TMEM35B,79,96,67,66,94
ZMYM6,1109,741,622,485,520
ZMYM1,116,87,75,54,64
SFPQ,27033,24782,20066,16648,18669
ZMYM4,1421,1161,1161,2145,1180
KIAA0319L,1137,837,889,448,660
NCDN,108,77,105,32,68
TFAP2E,14,16,25,20,33
PSMB2,249,226,132,174,150
C1orf216,87,89,77,54,42
CLSPN,348,116,454,294,201
AGO4,1486,1882,1228,1172,1138
AGO1,983,698,763,579,812
AGO3,542,432,476,336,299
TEKT2,2,0,12,1,7
ADPRHL2,294,379,183,226,245
COL8A2,64,28,10,4,32
TRAPPC3,331,371,256,240,232
MAP7D1,13430,13482,9421,10482,7974
THRAP3,8386,7210,6768,7495,5536
SH3D21,1199,582,768,591,498
EVA1B,660,414,416,159,208
STK40,2835,1564,1439,767,897
LSM10,302,186,136,46,100
OSCP1,3,8,5,0,5
MRPS15,959,1062,575,296,501
CSF3R,1204,1722,315,140,622
ZC3H12A,935,565,671,865,518
MEAF6,425,440,335,303,348
SNIP1,409,421,423,335,396
DNALI1,2,5,2,4,38
GNL2,2864,2880,2056,1566,2015
C1orf109,259,194,240,72,214
CDCA8,54,45,121,45,65
EPHA10,0,0,9,0,6
MANEAL,6,4,6,4,2
YRDC,204,210,146,83,146
C1orf122,134,109,80,34,96
MTF1,615,424,305,376,284
INPP5B,2481,1229,1507,728,811
SF3A3,6213,6326,4098,2626,3771
FHL3,77,95,23,18,36
UTP11,629,652,444,247,391
POU3F1,10,2,2,22,16
RRAGC,653,532,484,736,483
MYCBP,196,131,128,85,120
RP5-864K19.6,116,69,76,48,71
GJA9,1,0,0,0,2
RHBDL2,2,0,6,0,0
AKIRIN1,1163,1299,801,616,696
NDUFS5,3772,4173,3545,1906,2620
MACF1,17877,5808,13882,9250,9234
BMP8A,41,36,11,31,28
PABPC4,12175,13569,8260,10720,8032
HEYL,14,9,6,8,6
PPIE,750,704,707,294,478
BMP8B,24,33,37,9,25
OXCT2,114,113,53,35,67
TRIT1,607,498,273,103,291
MYCL,1788,1068,718,321,517
MFSD2A,92,79,78,123,49
CAP1,17207,16543,8948,6949,7163
PPT1,2593,1464,722,415,684
RLF,1064,806,890,746,898
TMCO2,1,3,0,0,0
ZMPSTE24,412,355,248,280,246
COL9A2,2255,4130,2470,1535,1514
SMAP2,17609,21278,11748,11665,9284
ZFP69B,83,78,66,121,72
ZFP69,242,203,170,160,153
EXO5,268,257,198,411,205
ZNF684,80,69,63,102,99
RIMS3,10,21,30,24,70
NFYC,852,688,628,467,408
KCNQ4,1,0,2,0,2
CITED4,12,30,10,18,88
CTPS1,835,686,493,307,431
SLFNL1,30,5,13,6,14
SCMH1,230,152,210,216,203
FOXO6,0,0,4,0,8
HIVEP3,280,165,117,79,136
FOXJ3,1875,1742,1404,1231,1372
RIMKLA,6,0,7,5,2
ZMYND12,5,3,2,6,2
PPCS,1139,941,704,579,671
CCDC30,91,73,109,91,90
PPIH,316,234,229,118,219
YBX1,51573,58694,41726,38519,33213
CLDN19,1,0,0,0,1
P3H1,460,406,377,233,368
C1orf50,139,133,98,51,92
RP5-994D16.12,138,125,96,47,89
RP5-994D16.11,152,169,128,126,138
SVBP,237,276,215,198,205
ERMAP,404,363,246,222,293
ZNF691,62,81,87,85,58
SLC2A1,248,230,133,186,171
EBNA1BP2,1360,1076,1083,549,957
CFAP57,126,76,107,65,77
TMEM125,0,0,6,0,1
TIE1,16,12,157,84,263
MPL,2,1,0,2,4
CDC20,33,26,109,26,22
ELOVL1,299,311,292,300,182
MED8,653,684,452,359,427
SZT2,1064,755,911,641,728
HYI,478,331,842,166,509
PTPRF,4,10,47,119,91
KDM4A,1335,1029,938,876,866
ST3GAL3,35,34,62,29,39
ARTN,0,0,0,2,0
IPO13,146,136,84,59,98
DPH2,184,97,96,44,83
ATP6V0B,257,226,132,190,147
B4GALT2,19,11,28,10,12
CCDC24,86,28,47,41,63
SLC6A9,10,12,12,5,3
KLF18,0,0,0,0,0
DMAP1,1222,982,1189,515,985
ERI3,157,119,146,55,70
RNF220,2395,2108,1962,1076,1520
TMEM53,1032,938,840,447,577
C1orf228,0,2,20,2,86
KIF2C,105,76,253,104,61
RPS8,16287,15091,11480,6517,7842
BEST4,2,2,0,5,0
PLK3,1129,969,612,544,682
TCTEX1D4,27,14,2,5,8
BTBD19,222,151,56,37,72
PTCH2,22,14,16,25,18
EIF2B3,284,275,185,246,176
HECTD3,454,263,342,430,365
UROD,524,474,459,338,414
ZSWIM5,3,2,21,7,18
HPDL,0,0,2,0,0
MUTYH,390,290,327,195,227
TOE1,194,166,168,113,160
TESK2,125,53,97,49,54
CCDC163P,27,24,42,2,30
MMACHC,57,70,70,17,98
PRDX1,352,298,315,227,302
AKR1A1,758,626,545,247,444
NASP,10870,10471,8639,5315,10684
CCDC17,35,23,28,25,36
GPBP1L1,2471,2197,1733,1755,1594
TMEM69,148,135,106,83,98
IPP,25,7,23,13,6
MAST2,294,400,214,164,197
PIK3R3,54,49,36,94,204
TSPAN1,0,0,0,0,6
POMGNT1,392,191,275,222,328
LURAP1,1,2,2,2,8
RAD54L,29,8,49,28,8
LRRC41,507,390,402,248,290
UQCRH,934,829,687,353,477
NSUN4,222,185,142,103,164
FAAH,120,80,57,14,81
RP11-49P4.7,0,0,2,0,0
MKNK1,3579,2743,1887,423,1342
MOB3C,668,586,486,146,275
ATPAF1,395,483,459,136,296
TEX38,10,2,4,6,18
EFCAB14,1572,1273,1061,686,693
CYP4B1,0,0,3,0,0
CYP4Z1,0,1,0,0,2
CYP4A22,0,1,0,0,0
TAL1,0,0,43,36,113
STIL,79,32,81,56,27
CMPK1,1742,1580,1334,858,1159
FOXD2,4,3,0,10,6
AL356289.1,140,2,30,0,0
SLC5A9,202,91,69,11,33
SPATA6,121,137,44,13,50
AGBL4,1,4,6,0,9
BEND5,196,77,79,70,143
ELAVL4,38,40,48,2,14
DMRTA2,0,0,0,0,1
FAF1,510,456,416,319,344
CDKN2C,164,116,178,161,178
RNF11,748,563,712,574,753
TTC39A,6,0,25,2,35
EPS15,1287,1012,1187,2195,1298
OSBPL9,2202,1155,1323,1559,1324
NRDC,7750,5983,5339,4758,4665
RAB3B,4,0,10,36,12
TXNDC12,524,481,427,225,323
KTI12,88,95,140,47,131
BTF3L4,532,560,382,209,279
ZFYVE9,13,14,123,24,50
CC2D1B,818,806,833,731,662
ORC1,44,6,53,6,21
PRPF38A,1449,1392,1289,644,1065
ZCCHC11,626,216,950,247,563
GPX7,50,6,184,38,114
FAM159A,2,0,37,0,6
COA7,154,123,86,58,68
ZYG11B,175,151,99,88,100
ZYG11A,0,0,0,0,2
ECHDC2,825,632,562,298,421
SCP2,1162,1152,786,407,527
AL445183.1,0,0,0,0,0
PODN,0,2,0,0,0
SLC1A7,0,0,0,0,2
CPT2,181,144,127,235,122
C1orf123,153,164,102,100,105
MAGOH,517,488,462,268,334
LRP8,290,196,349,862,575
GLIS1,0,2,2,0,0
NDC1,102,55,80,24,35
YIPF1,223,189,116,78,116
DIO1,5,5,2,0,1
HSPB11,662,445,443,334,412
LRRC42,163,135,148,178,136
TMEM59,1201,1288,1252,493,810
TCEANC2,624,496,419,307,367
RP11-446E24.4,26,4,27,8,46
CDCP2,0,0,0,0,1
CYB5RL,57,18,51,20,67
MRPL37,145,116,137,91,126
SSBP3,127,181,325,149,241
ACOT11,4,18,12,6,25
FAM151A,2,4,4,2,3
MROH7,10,14,27,21,6
MROH7-TTC4,212,191,213,147,188
TTC4,234,216,234,144,212
PARS2,10,4,10,2,4
TTC22,16,4,47,0,14
LEXM,0,0,8,3,6
DHCR24,50,19,151,405,1884
BSND,0,0,0,0,4
USP24,1669,1097,1490,1927,1549
PLPP3,0,4,15,30,44
PRKAA2,0,0,1,0,26
C1orf168,0,1,0,2,0
DAB1,107,55,118,68,76
OMA1,256,146,251,121,138
TACSTD2,657,5,14,4,60
MYSM1,1420,878,1175,673,922
JUN,98485,92302,130666,53239,71865
FGGY,34,47,32,30,34
HOOK1,12,4,216,40,50
CYP2J2,2,0,0,0,0
C1orf87,0,0,0,0,0
NFIA,4,20,34,8,50
TM2D1,282,222,233,196,191
PATJ,411,58,685,148,192
L1TD1,2,0,0,0,4
KANK4,0,0,0,2,0
USP1,1496,878,1133,985,876
DOCK7,495,330,286,311,278
ANGPTL3,1,0,0,0,4
ATG4C,548,462,417,219,310
ALG6,22,19,23,21,34
ITGB3BP,208,132,209,86,194
EFCAB7,60,14,56,18,45
PGM1,619,511,443,275,324
ROR1,90,12,28,116,26
CACHD1,9,4,7,24,51
RAVER2,253,75,130,90,90
JAK1,5502,3811,4562,13596,4410
AK4,14,8,8,12,6
DNAJC6,8,0,3,6,54
LEPROT,217,225,194,118,212
LEPR,76,46,73,30,59
PDE4B,7567,4421,4731,3030,3188
SGIP1,1,0,28,0,8
TCTEX1D1,0,0,5,0,9
INSL5,0,0,0,0,0
WDR78,0,6,11,6,21
MIER1,2279,1615,1890,1859,1342
SLC35D1,124,45,116,59,63
C1orf141,0,0,2,0,0
IL23R,2,4,127,30,10
IL12RB2,2,4,121,8,14
SERBP1,14162,12914,10107,7221,7987
GADD45A,1262,1642,3779,14046,4008
GNG12,2,10,27,28,228
DIRAS3,0,0,0,4,8
WLS,0,14,18,103,73
DEPDC1,10,4,37,4,10
LRRC7,5,3,7,2,2
LRRC40,105,50,100,68,96
SRSF11,26341,17839,22169,18260,18875
ANKRD13C,486,377,339,290,320
HHLA3,12,26,36,5,24
CTH,4,1,9,0,2
PTGER3,0,4,0,0,2
ZRANB2,3187,2173,3081,1899,2143
NEGR1,499,246,114,25,203
LRRIQ3,4,0,2,10,0
FPGT,25,22,17,14,14
FPGT-TNNI3K,44,15,29,22,51
TNNI3K,8,2,3,2,28
ERICH3,6,53,12,0,4
CRYZ,104,91,116,32,116
TYW3,511,333,372,159,425
LHX8,0,0,0,0,0
SLC44A5,0,0,0,10,0
ACADM,1246,993,1126,636,881
RABGGTB,1777,1404,1348,1293,1056
MSH4,2,0,2,2,2
ASB17,0,0,0,0,0
ST6GALNAC3,9,61,109,10,34
ST6GALNAC5,0,0,0,0,0
PIGK,167,106,155,74,95
AK5,5,25,12,10,13
ZZZ3,704,525,634,489,475
USP33,1274,1206,1156,902,964
FAM73A,166,80,126,139,103
NEXN,269,212,183,114,171
FUBP1,3290,3015,3062,2891,2554
DNAJB4,592,525,653,877,738
GIPC2,9,1,9,44,207
PTGFR,0,0,0,0,0
IFI44L,178,218,701,192,573
IFI44,81,247,706,71,434
ADGRL4,0,2,4,36,204
ADGRL2,0,10,4,14,78
TTLL7,45,1,74,10,12
PRKACB,377,257,341,198,231
SAMD13,16,0,7,21,8
RPF1,674,685,537,302,412
GNG5,259,227,121,177,94
CTBS,152,160,132,111,112
SSX2IP,526,245,316,224,352
LPAR3,12,19,32,2,87
MCOLN2,1166,561,605,789,423
WDR63,13,5,18,44,10
MCOLN3,4,1,2,31,2
SYDE2,8,0,38,5,13
C1orf52,330,333,370,198,258
BCL10,219,224,165,103,143
DDAH1,0,2,6,9,14
CYR61,22,22,12,16,74
ZNHIT6,2677,1922,2064,937,1515
COL24A1,85,4,746,162,471
ODF2L,685,395,1782,479,1159
CLCA4,0,0,0,0,0
SH3GLB1,779,638,614,585,582
SEP15,1259,1075,943,474,630
HS2ST1,169,110,173,61,100
RP5-1052I5.2,72,46,78,23,41
LMO4,321,248,294,126,184
PKN2,1039,450,764,873,683
GTF2B,1496,1402,1039,547,798
KYAT3,537,338,364,514,362
RBMXL1,205,163,181,357,183
GBP3,729,970,690,2326,971
GBP1,1044,1735,1156,5335,1658
GBP2,2887,4154,4852,5031,3395
GBP7,10,21,20,45,17
GBP4,1400,1292,1341,2644,1275
GBP5,433,611,1743,586,449
GBP6,0,0,2,2,1
LRRC8B,67,55,34,46,44
LRRC8C,396,273,261,169,153
RP11-302M6.4,148,148,92,96,86
LRRC8D,468,471,349,338,299
ZNF326,2873,2715,2955,2446,2576
BARHL2,0,0,0,0,4
ZNF644,719,404,488,391,407
HFM1,0,0,0,10,0
CDC7,42,82,86,44,86
TGFBR3,4,2,22,174,829
BRDT,0,0,7,0,0
SETSIP,6,26,4,4,6
BTBD8,30,16,83,20,47
KIAA1107,26,10,72,16,38
C1orf146,2,0,0,0,0
GLMN,105,84,101,42,93
RPAP2,704,401,655,268,375
GFI1,12,12,199,61,36
EVI5,353,279,213,232,200
RPL5,72016,70860,56594,30970,39684
FAM69A,95,48,121,110,67
MTF2,1478,1282,1293,705,1070
TMED5,1444,1127,1102,669,818
CCDC18,1678,883,1239,508,806
DR1,604,555,460,364,325
FNBP1L,468,380,515,331,587
BCAR3,79,45,88,175,84
DNTTIP2,3653,2638,3060,1837,2749
GCLM,26,20,31,26,47
ABCA4,0,0,0,0,0
ARHGAP29,2,6,9,86,345
ABCD3,138,92,106,72,93
F3,10,22,8,30,11
SLC44A3,0,0,2,4,0
CNN3,6,26,40,157,600
ALG14,16,18,18,14,26
TMEM56,0,0,142,7,14
TMEM56-RWDD3,73,48,79,47,58
RWDD3,100,61,89,58,73
PTBP2,113,86,98,86,117
DPYD,274,610,234,313,225
SNX7,12,6,2,14,30
PALMD,8,0,4,6,28
FRRS1,20,29,31,10,9
AGL,177,85,96,136,189
