,CD141+_1,CD141+_2,CD141+_3,CD141+_4,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+CCR7+_4
INPPL1,57.4733505611013,53.6547015614873,53.6150040367514,50.2422607919331,51.0775268850433,51.0055754241542,63.1753443988098,39.4234484792609,26.2070306541496,21.48057785666,18.8087593127404,33.3391122258708
PHOX2A,2.33351253305817,0.09131915204429,0.09329388514723,0,1.59428174810271,2.20570320130324,2.17394314003214,1.71908251439675,0,0,0,0.695842990171834
CLPB,12.936109112671,12.1879371838173,9.21176470455614,6.23316068037373,10.0530339176463,12.2485561705664,11.4343232859798,10.4529677742193,3.66909505671474,3.19438299282799,4.95086332871411,7.25588796736835
PDE2A,5.72396133317818,0.589772702370137,8.31949714645702,3.28948261284243,6.13827330806684,1.66858618924441,3.21431435882807,6.40526985314076,7.46453259019908,12.4771441408882,3.22121608948352,5.79700724018825
ARAP1,113.285771956724,113.154271199615,93.5652780481044,102.157247550904,124.50547738133,102.683968857105,109.042928455942,70.3947078572002,45.1706225148879,47.1538832614511,59.0439998925933,82.0362759831966
STARD10,3.71960896977821,5.08497762910618,3.56904126739082,3.58211382325124,5.71182544260521,2.68485492019055,3.3442471005153,4.04333231787396,5.46724595473427,6.43381841750079,8.81954689718204,7.64474603729333
ATG16L2,89.6476913354347,104.436978144656,91.1662172455086,94.4322129672204,71.6483998636556,90.9568733462905,90.4012048262599,81.5736872162848,56.2835860481352,57.570576915532,54.3332932467967,59.4644395042672
FCHSD2,52.2078450232963,84.8166933180765,69.6157963941343,63.6495690980151,35.7521940337001,60.1609529150583,69.131024700309,59.3900374063927,97.5451599248614,107.689625019805,70.9026418425719,94.5523555227251
P2RY2,12.5500724733191,14.1787586314247,18.9647783640219,7.13158492553862,6.10678291608603,6.68936914445637,2.64660869550292,1.42926398959981,0,0.584668246104171,1.51617270761997,4.57262370720075
P2RY6,7.00200484800062,31.5091497517487,28.1719376036441,13.7744451984309,8.89067553749371,19.8386198944361,14.6314684173189,10.1302500254813,4.45951311990506,2.40404692742747,1.89104666379979,6.29241952387859
ARHGEF17,0.654626222713456,1.96404625572979,1.65755819842253,0.562882142339923,0.532438006120593,0.750026115015864,0.367853157586297,0.643011469899108,0.743517105136493,0.100204325227504,0.545688661264377,0.830879411974515
RELT,122.026796843989,160.181823917657,105.595691808409,128.797740021214,97.079632205638,116.676504011097,92.8374359941511,102.680872909902,77.6724247423636,100.392878003984,130.274905534052,105.067363905158
FAM168A,18.0121604539176,21.5028293779815,17.4940643240908,18.8917185207188,14.733844312412,17.0993163744034,17.8429585520767,16.8241514770194,22.1639455098177,20.0877369621796,21.1196110655038,21.2242733124603
PLEKHB1,0,0,0,0,0.247099589234186,0,0.224627990027357,0.082893255103285,0,0.193766279818602,0,0.174218451093873
RAB6A,51.0701323909277,43.0575770460854,47.3541163206706,44.4154363989198,43.9426697930312,48.4419210649856,50.0179457377236,40.4235324496448,51.6814021333927,46.5625000848287,44.2400574245514,59.6819180031996
MRPL48,18.508489284092,17.7548083775814,19.7704759836947,18.5466008322104,14.2200668043593,17.6170976744807,15.200655297332,11.9336048131183,8.37064524287086,6.53795525543887,7.12082645663597,9.73198991242324
COA4,20.7361575650229,13.3464201128452,17.3402012992084,12.3116935406366,12.9347540173635,17.5199221332368,14.8830711887575,15.4753144840085,4.82957025072868,8.19238395954781,6.56652644528163,8.84334029896029
PAAF1,1.40960386036883,2.11415860229839,2.20181561871981,2.53685244225488,2.61081247987503,2.41127442639406,2.5595289200064,1.13343497585223,1.02499824711509,1.50536893401972,1.0201802802236,1.81670043965894
DNAJB13,11.2310783065893,19.2683148024524,12.165415234554,11.6657445485303,5.78778345781928,8.59569317668897,7.33412003468026,6.17781365173714,3.36161609217294,4.95116058998933,5.40920973760285,6.73246384381417
UCP2,32.3927151426327,43.1315278747883,43.7557255880019,23.3881964338911,20.6483373517015,23.870432622883,20.9385739910111,22.4225998973895,14.821768732453,16.8314477373105,13.9366108160667,23.9243919681655
UCP3,0,2.07842786661498,2.25890731681132,0.874484162179238,2.42641422559078,1.01957438473034,1.70444515668514,1.16546701627506,1.18908956843454,1.62162231668221,0.392487343150628,2.38468467157193
C2CD3,4.67760578478504,5.17082439993302,4.43530009700028,3.67323695010043,3.28063640600754,4.53879010510797,4.74522087293506,2.86248457667302,2.83753469205124,2.92738753848451,2.5534562773133,5.05143272256816
PPME1,5.22542338541388,4.25957648353311,5.8232730371904,5.35780330562917,5.05518984289865,5.28657569788399,5.55187971461367,3.48636969194823,5.0588928361613,4.34641481627205,3.36048882756994,6.05488398890614
P4HA3,5.38675274063028,3.21031579259516,3.73640962814648,4.6876190185163,3.69929267396415,4.1938321055551,4.60667612374222,2.9069603845344,3.27807880028401,3.27835483967223,3.10175629848727,3.90634454578188
PGM2L1,0.324495818797714,0.517185292847659,0.377406555788341,0.426137520300042,0.092134714564795,0.243350309902596,0.376901317960868,0.115904883056833,0.567619821200241,0.48767809099243,0.163936890268358,0.627945803933891
KCNE3,2.19357793595745,1.01903928384044,1.0863396754049,2.55543440919661,4.0885562620445,6.32366660625322,4.06832018217755,2.33537149195394,1.13462216095234,0.259953510564363,1.33699740695336,0.960883749194837
LIPT2,0,1.09798394100767,1.68259097997633,0.90468959659318,0,0.904106880093049,0.311173792419251,0,0,0,0,0.643579233732902
POLD3,14.6910035135424,15.1437262219445,15.8942427596221,13.8912475980161,8.74150686471379,13.314018861501,16.1948502036672,11.9154765071956,15.8305952857072,15.0544491306178,9.34547422823932,15.967188520246
CHRDL2,0,0,0.053089726029556,0.085635291160774,0,0,0.058909615885431,0,0,0,0,0
RNF169,14.8668581623272,17.8469584214099,15.9138879898745,14.44771245164,12.932661219028,14.358383745985,18.083361968993,14.1914513672189,18.9854790253426,14.5704972782386,12.6423569802144,18.6026318367636
XRRA1,6.12810285618544,5.73764885747788,5.91667642814865,4.90484942471697,2.50424709541293,5.43319875267892,5.38637861954862,4.79299730582323,7.2548635082527,4.57620889698597,4.39219514327612,6.16918967517115
SPCS2,19.7190416903195,25.6771571449014,30.1951822557137,29.7996167364747,25.7523015568783,32.5095449214947,24.1535351650979,18.6492589301586,23.084538503038,26.5246510992831,22.8865134695769,30.1011417427271
