"","Ctr_1","Ctr_2","Ctr_3","Ctr_4","Ctr_5","PAMP_1","PAMP_2","PAMP_3","PAMP_4","PAMP_5","PAMP_6"
"SAMD11",72,26,26,20,46,48,52,59,24,63,51
"NOC2L",2167,1193,790,841,1007,1423,991,1284,933,1210,1367
"KLHL17",4,35,0,35,12,26,21,12,8,23,30
"PLEKHN1",54,51,41,24,47,396,186,234,122,270,261
"HES4",5,2,4,0,0,96,54,64,37,73,51
"ISG15",217,58,25,81,44,11962,8273,9590,10405,15258,14075
"AGRN",1515,901,582,809,961,3549,2203,3651,1831,2930,3463
"RNF223",5,36,0,12,22,14,15,29,13,44,12
"C1orf159",219,258,185,352,418,316,232,374,109,211,170
"TNFRSF18",274,131,104,136,208,54,31,24,17,45,29
"TNFRSF4",266,129,191,168,208,63,29,47,21,42,14
"SDF4",4341,2447,2492,2425,2733,3124,1996,2489,1415,2012,2395
"B3GALT6",179,56,55,128,119,123,57,76,36,84,51
"UBE2J2",426,236,142,309,274,467,270,193,259,220,248
"ACAP3",106,123,72,76,94,54,35,84,17,64,77
"PUSL1",309,291,259,233,62,69,221,152,171,129,115
"CPTP",81,7,0,35,18,56,7,39,19,85,18
"DVL1",209,70,62,89,138,221,158,215,100,221,167
"MXRA8",24,8,12,5,16,19,6,20,8,21,8
"AURKAIP1",646,368,350,483,418,560,319,398,195,360,364
"CCNL2",2107,1158,1066,1294,1606,1630,1339,1571,915,1123,1244
"MRPL20",686,484,323,446,481,595,479,671,388,529,495
"ATAD3B",438,274,263,207,327,497,376,341,209,374,371
"ATAD3A",800,461,400,595,553,1002,741,1189,553,709,830
"SSU72",1315,963,956,655,995,810,806,1007,479,854,755
"MIB2",115,98,54,63,104,39,34,98,57,61,22
"CDK11B",7457,5989,4188,3975,4722,6957,4738,6078,3747,5661,5922
"SLC35E2B",357,191,202,227,164,352,184,213,165,208,192
"CDK11A",7747,5319,4155,4308,4799,6396,4652,6060,3547,5131,5870
"NADK",1064,654,556,476,670,1217,994,1210,851,1068,983
"GNB1",4990,3166,3216,3000,3514,6846,4629,5700,3160,4879,4598
"PRKCZ",10,3,0,15,7,6,37,19,7,15,19
"FAAP20",41,23,30,14,38,50,74,45,31,62,33
"SKI",212,139,216,148,166,38,47,57,22,28,26
"MORN1",7,17,0,27,10,91,10,28,23,17,51
"RER1",669,388,435,393,487,594,371,545,288,350,419
"PEX10",140,52,99,38,65,105,34,71,40,71,48
"PANK4",234,97,104,84,150,160,82,73,105,79,67
"TNFRSF14",284,232,103,292,326,222,63,199,63,137,117
"PRDM16",23,2,7,10,0,46,20,62,26,23,68
"MEGF6",2,4,20,0,7,1,1,20,0,7,0
"TPRG1L",94,101,94,72,54,251,104,190,135,123,140
"WRAP73",211,122,61,146,144,183,99,77,67,99,113
"LRRC47",422,212,321,208,265,406,360,322,213,266,279
"CEP104",423,407,331,224,401,542,286,447,214,405,381
"DFFB",106,103,82,42,44,45,71,86,76,79,57
"C1orf174",74,24,53,15,71,20,67,63,11,59,38
"NPHP4",60,33,43,23,36,37,38,52,29,35,37
"KCNAB2",2136,1432,1117,1594,1426,81,61,44,27,48,69
"RPL22",9636,6849,5070,5000,6570,5676,4218,4702,3483,4604,4366
"RNF207",106,114,129,125,153,136,127,192,78,102,52
"ICMT",84,74,45,119,96,104,196,187,103,68,122
"GPR153",22,37,16,19,17,26,6,17,4,14,33
"ACOT7",74,48,44,19,45,36,16,25,23,24,33
"TNFRSF25",0,6,3,0,0,20,6,17,10,4,28
"NOL9",230,66,78,74,178,175,117,129,88,84,138
"ZBTB48",367,289,216,205,329,100,65,137,44,90,118
"KLHL21",353,183,199,171,189,631,361,500,281,399,499
"PHF13",146,76,80,47,89,155,57,87,55,77,128
"THAP3",133,85,130,120,113,407,234,298,155,214,192
"DNAJC11",1569,1225,983,1223,1237,1805,1284,1556,902,1183,1291
"CAMTA1",255,206,104,199,160,655,678,807,545,653,602
"VAMP3",245,198,159,105,205,308,201,187,151,211,215
"PER3",105,48,45,70,82,72,33,44,19,47,37
"UTS2",0,0,3,4,4,28,13,0,13,1,4
"TNFRSF9",122,87,121,185,160,1700,1072,1120,471,777,657
"PARK7",2001,1468,1231,1289,1606,1351,1281,1178,829,815,1228
"ERRFI1",94,28,64,24,44,355,168,234,172,161,203
"RERE",248,246,218,194,162,205,175,157,83,175,166
"ENO1",32654,22264,13517,16696,18342,24278,18061,20869,15495,22072,21983
"SLC2A5",0,0,6,0,3,13,0,59,0,11,0
"GPR157",600,519,565,703,771,1558,1300,1913,748,992,1099
"H6PD",713,487,696,856,696,724,583,907,275,462,452
"SPSB1",132,92,113,194,78,288,85,126,57,90,114
"SLC25A33",79,51,76,61,27,96,127,61,60,67,81
"PIK3CD",80,82,147,67,147,86,111,117,38,48,63
"CLSTN1",483,428,223,299,356,1025,799,1094,776,837,950
"CTNNBIP1",123,83,85,68,87,57,11,32,24,12,41
"LZIC",439,263,278,216,228,599,289,436,303,345,402
"NMNAT1",310,250,129,208,137,111,84,160,96,141,118
"UBE4B",363,325,266,268,222,252,191,286,177,198,204
"KIF1B",2449,1345,1370,1180,1376,1120,689,890,565,875,754
"PGD",56003,33099,32468,35421,38712,45768,29279,36771,20747,29270,31186
"DFFA",508,203,217,346,222,419,226,401,191,324,248
"PEX14",280,144,143,178,145,334,296,289,198,291,227
"CASZ1",108,73,97,136,97,833,741,1127,368,644,493
"TARDBP",4983,3320,2646,2791,3046,4284,2530,3401,2452,3008,2915
"MASP2",1,87,184,158,77,348,157,281,137,129,113
"SRM",96,63,56,103,43,59,99,45,53,55,33
"EXOSC10",1143,789,758,775,866,2379,1491,2021,1096,1492,1625
"MTOR",1187,894,974,923,885,1095,934,931,519,692,826
"UBIAD1",47,85,47,71,11,38,10,53,18,27,48
"FBXO44",80,35,25,39,60,18,31,41,8,35,33
"FBXO6",77,78,33,43,37,72,27,72,45,103,43
"MAD2L2",655,334,254,339,335,361,226,150,100,355,220
"DRAXIN",7,25,19,4,9,0,0,0,0,0,3
"AGTRAP",22,106,20,51,251,634,208,383,178,230,140
"C1orf167",24,32,16,45,32,36,49,43,16,31,34
"MTHFR",303,176,181,215,189,270,196,224,101,177,241
"CLCN6",210,146,212,137,152,347,273,288,100,240,301
"NPPA",13,3,29,8,14,32,57,19,3,9,23
"KIAA2013",113,149,88,127,54,206,90,181,95,170,151
"PLOD1",291,160,140,144,270,164,185,127,73,163,110
"MFN2",1725,938,969,928,890,1355,828,1061,668,983,943
"MIIP",46,54,27,66,43,275,299,416,157,278,292
"TNFRSF8",60,0,5,2,52,1938,1503,1919,342,3031,479
"TNFRSF1B",2384,1203,1545,1673,1676,6718,4743,6125,2561,4613,4399
"VPS13D",681,699,670,475,553,527,331,507,304,380,302
"DHRS3",58,148,127,200,177,18,17,9,0,7,12
"PRDM2",1430,1132,954,983,951,1602,1125,1332,830,1101,1238
"KAZN",25,7,0,50,0,49,1,13,0,32,36
"TMEM51",251,178,184,206,278,220,115,270,104,85,167
"FHAD1",38,67,93,38,62,69,58,87,31,60,29
"EFHD2",8913,5269,5199,5219,5555,3965,3132,3731,2072,2978,3337
"CASP9",159,63,45,108,94,89,35,66,39,45,72
"DNAJC16",199,95,99,131,125,179,117,110,90,77,119
"DDI2",871,581,738,622,608,371,375,381,176,292,283
"RSC1A1",130,127,152,56,88,47,73,25,17,73,35
"PLEKHM2",2531,1443,1305,1535,1782,3464,2315,2983,1588,2449,2536
"SLC25A34",19,58,16,30,6,33,16,46,15,37,70
"UQCRHL",76,76,31,64,81,43,55,51,35,43,40
"SPEN",6523,4566,3674,3962,4157,5296,3626,4483,2995,3738,4110
"ZBTB17",2270,1222,878,966,1248,4524,2960,4098,2552,3799,4298
"EPHA2",13,4,0,0,0,730,532,746,434,528,550
"ARHGEF19",15,28,8,3,19,72,70,74,61,62,112
"FBXO42",236,154,117,146,164,352,222,422,179,238,355
"SZRD1",1365,831,774,845,917,2051,1146,1807,812,1418,1549
"SPATA21",452,252,231,257,271,565,320,478,260,379,416
"NECAP2",746,467,444,463,483,1590,1003,1352,713,1186,1085
"NBPF1",140,80,72,86,99,248,140,240,96,181,196
"CROCC",305,236,85,163,136,134,71,187,110,122,223
"ATP13A2",5,4,17,0,0,48,1,8,4,14,16
"SDHB",394,205,139,122,289,227,115,301,127,268,192
"RCC2",2114,1164,989,998,1107,515,395,479,287,471,534
"ARHGEF10L",88,75,57,75,50,980,461,591,318,654,618
"ALDH4A1",43,19,19,35,43,76,43,80,31,50,38
"IFFO2",149,82,109,91,80,1589,1035,1055,735,962,936
"UBR4",5357,3300,3263,3328,3643,11996,8269,10914,6227,7965,8691
"EMC1",819,669,493,507,493,520,291,508,365,350,387
"MRTO4",593,351,483,466,396,227,225,166,95,184,113
"AKR7A2",176,79,130,115,88,53,63,40,40,27,34
"CAPZB",2133,1422,1034,1344,1470,1980,1222,1412,905,1376,1423
"NBL1",62,33,39,56,58,148,86,175,47,117,92
"TMCO4",179,99,125,127,103,306,260,393,203,241,214
"OTUD3",221,101,78,133,109,254,92,146,71,137,207
"MUL1",352,272,161,187,282,301,197,332,180,279,259
"PINK1",147,128,58,121,128,113,151,101,110,89,100
"DDOST",616,421,310,383,541,541,509,649,365,447,467
"HP1BP3",3056,1660,1558,1841,1971,2614,1901,2330,1222,1943,2064
"EIF4G3",1401,1224,1163,1438,1542,247,170,267,126,112,163
"ECE1",145,84,136,210,147,1606,1104,1974,642,896,895
"NBPF3",0,0,15,55,1,134,0,182,19,1,62
"RAP1GAP",127,81,94,117,130,33,13,17,5,0,12
"USP48",1616,1132,1191,932,1160,1514,1339,1426,849,1115,1237
"HSPG2",96,6,69,53,67,13,22,39,0,0,23
"CDC42",2526,1780,1560,1452,1884,3592,2520,3033,1842,2618,2560
"WNT4",7,2,0,3,0,12,34,30,40,18,30
"ZBTB40",2018,1270,1124,1406,1302,1562,1392,1468,882,1133,1337
"C1QC",1,3,0,4,0,5,1,1,0,0,7
"C1QB",1,9,0,0,4,22,11,8,9,36,6
"EPHB2",8,0,0,0,0,428,289,299,182,259,177
"KDM1A",690,370,548,529,584,1928,1541,1884,952,1097,1125
"LUZP1",932,733,549,515,427,766,378,636,418,573,649
"HNRNPR",10221,5948,5899,6295,7335,10464,7331,9267,5065,6796,7748
"ZNF436",144,86,159,113,115,204,194,144,99,101,104
"ASAP3",2,2,0,0,16,2,2,4,0,0,14
"ID3",10,0,3,0,8,1,0,1,4,2,5
"RPL11",2687,2284,1798,1464,2111,2231,1779,1965,1114,2009,1889
"PITHD1",1043,444,363,390,537,824,652,637,676,651,582
"LYPLA2",250,158,148,235,256,231,238,174,75,144,179
"GALE",161,82,92,79,124,226,198,152,142,152,113
"HMGCL",169,101,123,102,115,191,122,162,87,133,116
"FUCA1",189,110,91,32,59,12,24,14,21,24,30
"PNRC2",3555,2206,1810,2251,2625,4785,3301,4335,2239,3426,3825
"SRSF10",2976,1703,1573,1705,2263,3194,1999,2846,1567,2053,2268
"IFNLR1",41,67,66,53,27,156,59,115,83,63,74
"GRHL3",0,0,0,0,0,2546,978,688,324,1497,1266
"STPG1",43,37,42,41,19,181,134,159,90,147,117
"NIPAL3",190,169,254,144,136,1062,693,505,416,505,463
"RCAN3",374,316,311,251,262,1803,1038,1467,867,1142,1130
"SRRM1",3229,2194,1902,1716,2288,2985,2522,2837,1920,2375,2352
"CLIC4",658,407,391,467,515,1720,1018,1418,774,969,1134
"RUNX3",369,241,211,228,199,1622,1075,1441,873,1155,1235
"SYF2",6149,3539,3420,3083,3726,5615,3974,5271,3025,4320,4647
"RSRP1",3435,1867,1654,1678,2114,2311,1724,2190,1333,1836,1945
"RHD",7,0,7,3,3,0,14,23,0,8,14
"TMEM50A",561,333,273,264,406,1115,787,817,603,791,773
"LDLRAP1",88,41,57,60,46,61,6,11,0,20,40
"MTFR1L",291,225,178,158,218,251,130,217,95,191,201
"AUNIP",65,66,73,43,37,48,12,33,11,22,36
"PAQR7",38,67,24,43,4,43,0,53,5,9,97
"STMN1",258,175,58,81,131,618,709,863,843,1010,895
"PAFAH2",64,62,85,59,54,66,88,138,74,51,48
"PDIK1L",20,40,7,49,25,7,22,36,5,38,17
"ZNF593",29,29,8,39,14,12,7,37,9,14,27
"CEP85",1213,812,595,535,723,296,339,375,228,305,434
"SH3BGRL3",384,456,413,432,480,67,103,35,9,77,66
"UBXN11",660,332,285,315,298,38,44,16,16,19,65
"CD52",198,122,145,222,188,14,10,18,0,9,13
"DHDDS",545,401,359,341,431,720,594,669,339,542,609
"HMGN2",7033,4619,3371,3702,4082,3442,2076,2791,1758,2701,2934
"RPS6KA1",4481,2662,2347,2703,2820,866,533,774,401,663,661
"ARID1A",2945,2214,1798,1788,1782,2211,1702,2215,1337,1969,1800
"PIGV",45,6,12,28,26,30,32,25,6,12,41
"ZDHHC18",540,325,315,281,469,846,596,734,423,582,572
"GPN2",215,106,102,145,142,121,136,113,59,136,79
"GPATCH3",691,340,385,320,387,742,497,551,362,613,454
"NUDC",5319,3118,2407,2432,2952,5693,3942,4668,3181,4863,4673
"SLC9A1",172,144,44,99,78,66,81,108,86,122,95
"WDTC1",542,388,202,243,199,195,203,202,202,260,222
"TMEM222",83,58,72,28,88,46,112,96,61,84,36
"SYTL1",113,53,54,30,21,29,8,0,2,4,25
"MAP3K6",136,135,91,70,104,155,122,178,105,116,185
"GPR3",3477,62,0,123,56,0,0,0,0,0,3
"WASF2",1871,1324,1181,1298,1257,3372,2123,3069,1776,2286,2295
"AHDC1",42,17,26,16,71,40,20,70,13,24,26
"FGR",1419,941,1187,1510,1663,479,278,340,132,184,191
"IFI6",164,32,15,57,77,2124,1556,1914,1110,2214,2271
"FAM76A",134,76,84,100,103,153,143,181,106,101,110
"STX12",344,193,115,181,199,169,91,144,111,131,136
"PPP1R8",682,500,383,494,619,1036,631,730,420,644,639
"THEMIS2",2284,1130,938,1145,1158,2749,1950,2636,1395,2494,2553
"RPA2",1664,1015,834,1045,1122,1933,1690,1936,1097,1785,1488
"XKR8",0,5,10,10,11,37,71,88,35,11,49
"EYA3",528,360,266,243,351,362,288,446,223,329,428
"PTAFR",271,185,233,277,231,456,243,281,125,213,246
"DNAJC8",8341,4847,4394,4708,5253,6702,4658,5678,3641,4887,4784
"SESN2",428,310,226,251,194,256,150,145,124,221,170
"MED18",85,43,89,4,43,39,24,0,26,6,4
"PHACTR4",527,310,289,277,271,505,321,518,317,424,374
"RCC1",600,450,419,406,449,506,466,523,235,418,475
"TRNAU1AP",183,191,126,66,121,265,249,262,205,270,318
"TAF12",499,223,220,198,336,282,213,199,130,181,261
"GMEB1",636,385,352,361,398,822,601,640,383,605,635
"YTHDF2",420,398,219,246,405,527,414,401,325,360,441
"EPB41",603,339,272,442,322,589,612,819,464,579,522
"TMEM200B",6,0,0,4,5,20,13,34,17,7,11
"SRSF4",8161,4663,4363,4089,4239,10170,6554,8186,5282,7625,8115
"MECR",4,28,22,20,0,16,37,16,32,21,8
"LAPTM5",1109,577,479,599,756,124,69,82,44,95,85
"SDC3",29,14,4,37,27,35,10,77,30,22,19
"PUM1",1576,881,913,1080,1164,1839,1416,1654,800,1273,1343
"SNRNP40",513,338,267,345,425,312,282,408,158,321,263
"ZCCHC17",2207,1501,1105,1019,1095,1583,919,1267,989,1261,1319
"FABP3",275,155,75,438,296,9,16,0,2,12,1
"SERINC2",3,0,0,0,0,52,76,17,12,34,113
"TINAGL1",61,60,190,62,271,0,4,4,0,0,0
"HCRTR1",16,18,10,14,29,13,21,16,7,16,9
"PEF1",263,163,217,135,174,293,251,211,154,212,181
"SPOCD1",195,133,16,179,83,51,0,26,4,29,24
"PTP4A2",4009,2439,2384,2197,2414,3636,2564,3631,2014,2922,2822
"KHDRBS1",2110,1260,1348,1176,1504,3995,2509,3048,1952,2480,2462
"TMEM39B",36,60,36,54,30,15,19,30,21,7,18
"KPNA6",719,377,315,359,471,701,570,662,409,523,648
"TXLNA",2417,1279,1491,1537,1415,3255,2042,2652,1415,2166,2101
"CCDC28B",19,24,27,86,21,23,106,69,44,19,26
"IQCC",23,23,19,23,0,61,8,11,21,43,17
"DCDC2B",2,7,10,1,13,18,52,10,0,24,15
"TMEM234",27,35,49,16,40,80,112,78,45,75,47
"EIF3I",775,479,352,432,551,630,564,514,306,587,539
"HDAC1",1338,997,937,857,950,1377,1241,1356,883,1154,951
"MARCKSL1",1866,1203,957,942,1312,3118,2287,2706,1778,2419,2423
"TSSK3",9,9,3,6,0,4,23,11,5,24,27
"FAM229A",10,11,1,7,0,3,28,17,5,33,39
"BSDC1",574,460,364,392,476,691,512,563,335,562,434
"ZBTB8A",4,0,6,0,0,4,19,28,14,14,13
"ZBTB8OS",397,313,373,211,296,567,512,374,262,450,355
"RBBP4",1694,1190,1125,1051,1531,1475,1308,1446,737,1223,1061
"SYNC",128,123,106,44,136,76,59,153,66,60,90
"KIAA1522",76,23,21,19,27,270,196,242,193,197,280
"S100PBP",120,53,67,67,96,125,166,157,48,162,114
"TMEM54",1,3,3,0,0,22,39,26,30,17,20
"RNF19B",1784,1026,955,881,1060,10032,6786,9146,5114,7683,8053
"AK2",680,513,334,490,514,905,841,969,540,759,867
"AZIN2",29,6,0,4,8,25,0,8,21,33,37
"TRIM62",52,8,40,5,23,98,25,50,30,41,65
"ZNF362",121,112,39,85,84,88,30,63,38,54,80
"PHC2",524,292,404,483,459,120,128,74,31,100,49
"ZSCAN20",123,89,88,130,80,162,202,187,81,160,135
"SMIM12",477,346,242,254,327,908,585,787,522,693,642
"GJB3",0,0,0,0,0,0,33,32,17,54,0
"GJA4",10,0,0,0,5,191,88,244,49,370,199
"TMEM35B",29,33,7,31,55,148,114,37,35,83,107
"ZMYM6",362,231,182,188,352,272,146,339,172,164,193
"ZMYM1",78,112,102,21,118,69,42,148,48,80,78
"SFPQ",23038,12683,14358,13440,14328,22861,14615,18591,11370,14732,14302
"ZMYM4",1157,763,907,822,958,1580,918,1370,690,955,867
"KIAA0319L",636,461,469,424,471,829,501,779,437,516,534
"NCDN",91,94,41,105,56,70,29,84,38,64,50
"TFAP2E",337,0,1,77,6,0,0,0,0,24,9
"PSMB2",295,151,135,123,260,353,208,397,239,242,250
"C1orf216",183,54,110,76,44,96,40,79,44,57,64
"CLSPN",250,86,80,24,62,150,71,207,126,221,249
"AGO4",837,713,458,585,693,844,570,636,390,550,692
"AGO1",676,438,288,337,347,254,202,283,206,247,298
"AGO3",374,290,262,343,357,445,310,332,193,263,228
"TRAPPC3",236,198,154,166,234,305,208,270,137,220,199
"MAP7D1",10776,6142,5125,5044,5622,9759,5885,7863,4845,7545,8558
"THRAP3",9081,5894,5862,5361,5896,13727,9245,12162,7058,9993,9584
"SH3D21",546,415,269,369,520,1347,1373,1819,1048,1267,1096
"EVA1B",53,18,23,9,17,80,63,91,68,61,87
"STK40",912,715,621,494,505,925,623,909,549,687,889
"LSM10",100,74,59,33,40,26,23,10,27,17,24
"MRPS15",361,356,215,205,231,320,170,201,237,206,191
"CSF3R",38,49,23,44,42,5,11,39,0,31,15
"ZC3H12A",386,141,139,212,335,1937,1052,1498,672,1169,1176
"MEAF6",361,293,224,302,234,657,316,517,241,446,450
"SNIP1",1060,570,423,553,765,1411,796,1336,708,1065,1047
"GNL2",3341,1881,1875,1943,2367,3769,2784,3471,1730,2877,2849
"C1orf109",123,85,69,72,103,151,107,79,65,87,91
"CDCA8",33,15,14,0,11,7,3,9,13,7,12
"YRDC",153,121,59,103,127,193,136,89,78,176,102
"C1orf122",30,50,42,22,40,49,24,24,9,44,20
"MTF1",1771,953,1001,1244,1271,3140,1927,2522,1192,2010,2022
"INPP5B",595,209,191,197,401,169,202,240,98,165,269
"SF3A3",5124,3391,2757,2694,3175,3652,2548,3300,2168,3049,3152
"FHL3",8,9,93,33,8,7,0,7,0,0,0
"UTP11",842,721,390,415,627,405,315,390,300,345,410
"RRAGC",525,332,235,292,378,2280,1292,1877,1160,1624,1519
"MYCBP",79,53,42,47,108,108,39,44,29,53,34
"AKIRIN1",983,412,372,612,536,769,423,676,413,413,555
"NDUFS5",4970,2813,2436,2074,2988,1290,1181,1392,755,1338,1389
"MACF1",11197,8487,9770,10000,9840,21579,16050,21991,10718,13759,13326
"BMP8A",37,41,8,50,27,45,8,13,11,15,23
"PABPC4",4780,3056,2084,2041,2506,1508,914,1190,940,1243,1534
"PPIE",339,251,351,246,321,426,437,533,211,284,378
"TRIT1",74,88,40,47,45,63,43,50,63,58,43
"MYCL",139,141,62,118,112,11,3,5,3,6,12
"MFSD2A",45,9,43,55,25,695,530,926,257,316,395
"CAP1",11245,7221,6196,7206,7673,10030,5990,8288,4574,7338,6570
"PPT1",261,204,213,145,178,209,81,150,107,89,124
"RLF",431,320,220,355,322,704,361,463,275,438,426
"ZMPSTE24",794,479,337,426,561,642,584,531,420,462,572
"COL9A2",108,106,57,71,134,261,286,348,195,213,274
"SMAP2",2245,1397,1208,1020,1109,2124,1092,1494,961,1764,1532
"ZFP69B",88,44,79,60,53,27,19,28,8,14,20
"ZFP69",84,69,56,92,62,19,66,46,32,52,9
"EXO5",407,128,181,124,254,181,106,140,117,81,139
"ZNF684",105,87,26,40,72,78,18,83,22,81,112
"NFYC",781,574,503,420,599,907,521,733,462,573,631
"KCNQ4",6,0,0,0,0,442,442,587,387,390,364
"CTPS1",400,155,115,174,252,297,201,393,265,222,241
"SCMH1",21,4,3,0,0,32,28,29,26,75,41
"HIVEP3",14,23,56,68,15,261,514,435,68,109,111
"FOXJ3",764,485,411,542,441,1109,719,1237,652,843,824
"PPCS",1091,687,622,692,698,870,674,787,462,660,678
"CCDC30",25,82,32,103,43,64,71,70,59,30,28
"PPIH",169,168,86,97,155,84,74,151,63,154,67
"YBX1",25116,16915,12685,13329,15389,21197,13841,18614,12390,16311,17354
"P3H1",395,164,162,215,324,164,151,174,94,143,103
"C1orf50",102,96,71,107,86,102,78,149,82,62,76
"SVBP",137,173,101,152,81,157,77,167,80,168,91
"ERMAP",208,187,115,171,172,336,146,202,105,260,166
"ZNF691",272,123,190,131,174,170,121,178,79,133,108
"SLC2A1",103,141,112,151,113,205,108,171,45,138,125
"EBNA1BP2",1388,1173,658,705,874,764,580,723,628,730,659
"TIE1",118,96,85,93,80,0,0,0,0,0,0
"ELOVL1",236,238,216,267,298,356,252,345,112,194,254
"MED8",674,541,406,513,612,752,480,686,343,548,485
"SZT2",813,741,406,469,604,665,492,659,379,568,744
"HYI",100,113,75,60,98,107,101,130,74,71,139
"PTPRF",4,35,11,0,0,46,136,98,131,181,238
"KDM4A",1483,838,828,920,840,2221,1508,1771,1149,1554,1503
"ST3GAL3",23,17,25,52,22,164,235,305,72,130,147
"IPO13",171,57,81,71,86,74,74,74,37,98,42
"DPH2",57,74,36,48,74,95,47,90,66,43,62
"ATP6V0B",391,158,139,209,137,170,110,103,116,109,118
"B4GALT2",0,12,0,16,0,15,9,15,4,15,15
"CCDC24",17,6,7,5,12,125,72,43,28,52,107
"SLC6A9",1,5,0,5,7,14,28,3,3,24,3
"DMAP1",629,449,360,458,489,1426,932,1357,726,1017,963
"ERI3",60,77,62,25,73,57,36,90,45,35,64
"RNF220",1021,606,556,482,552,876,702,948,579,865,727
"TMEM53",537,317,265,292,296,474,332,462,296,421,349
"RPS8",3119,2197,1862,1894,2507,2315,1760,1942,1111,1745,1705
"PLK3",365,215,262,266,220,192,88,148,67,100,117
"BTBD19",66,65,86,92,80,24,11,29,8,13,6
"PTCH2",1,19,14,0,0,1,9,1,0,12,15
"EIF2B3",143,108,50,70,145,129,64,175,77,117,110
"HECTD3",625,286,319,231,389,580,345,550,292,405,512
"UROD",323,254,207,284,290,309,262,258,142,235,185
"MUTYH",121,142,49,86,134,141,142,169,102,164,142
"TOE1",74,87,25,48,91,96,48,132,51,102,99
"TESK2",56,21,10,51,29,20,22,7,7,13,17
"MMACHC",282,210,281,248,284,431,282,353,145,238,221
"PRDX1",2948,1683,1790,2032,2716,3352,2009,2671,1304,1845,1933
"AKR1A1",543,312,490,417,542,336,310,292,142,234,158
"NASP",3235,2529,1706,1648,2139,2912,2339,2613,2181,2687,2867
"GPBP1L1",1998,1106,1133,971,1164,1508,1101,1326,804,1208,1165
"TMEM69",125,103,71,49,150,142,82,220,90,124,131
"IPP",63,18,7,46,21,68,14,49,28,38,38
"MAST2",276,181,120,183,137,116,138,163,103,109,163
"PIK3R3",34,37,32,37,30,115,58,125,45,58,108
"POMGNT1",157,158,101,162,168,1212,873,945,476,837,814
"LRRC41",160,132,140,117,152,311,156,262,151,180,137
"UQCRH",757,634,532,517,448,475,344,318,218,405,313
"NSUN4",121,83,87,125,102,161,130,160,69,93,111
"FAAH",14,0,0,14,0,10,3,7,3,8,8
"MKNK1",2099,1266,916,1058,1057,362,212,350,211,379,317
"MOB3C",766,476,346,292,403,547,519,634,515,578,541
"ATPAF1",69,37,47,64,55,117,39,106,20,61,75
"EFCAB14",988,770,590,755,863,1152,851,1139,612,816,828
"STIL",76,90,25,10,47,32,19,10,38,37,31
"CMPK1",1762,954,841,815,1112,1072,821,1058,724,858,863
"SPATA6",0,4,0,0,6,25,0,43,0,38,20
"ELAVL4",85,64,97,160,3,0,0,13,0,7,1
"FAF1",168,201,108,97,183,100,133,109,85,124,77
"CDKN2C",11,9,0,0,36,2,1,38,9,14,10
"RNF11",185,158,94,90,105,197,116,166,98,170,200
"TTC39A",3,0,0,0,0,17,4,2,5,3,22
"EPS15",1245,917,1122,1072,1373,4694,3320,4323,2058,2724,2719
"OSBPL9",1191,732,934,1098,1172,5933,4488,5327,2567,3471,3349
"NRDC",7190,4329,4010,3917,4349,6698,5002,5833,3776,4895,5389
"TXNDC12",522,400,339,298,281,314,128,219,103,225,244
"KTI12",79,21,51,41,53,103,46,99,56,24,58
"BTF3L4",379,232,189,330,318,326,272,213,131,190,220
"ZFYVE9",18,20,3,35,24,0,57,39,36,9,3
"CC2D1B",790,599,500,474,675,1387,946,1315,683,1023,1023
"ORC1",3,9,3,3,5,3,0,10,0,0,17
"PRPF38A",1748,1263,971,1077,1236,1499,973,1297,888,1019,1076
"GPX7",0,0,2,7,0,12,0,13,3,0,7
"COA7",240,251,198,128,144,243,153,208,144,200,199
"ZYG11B",91,26,42,76,46,52,18,45,10,18,41
"ECHDC2",119,86,51,126,65,73,167,119,62,66,158
"SCP2",377,337,222,231,269,194,162,187,132,212,136
"CPT2",127,54,139,86,61,57,93,56,21,55,48
"MAGOH",924,446,512,527,532,837,620,740,350,678,638
"LRP8",1495,1023,857,756,931,2159,1873,2347,1316,2277,1862
"NDC1",20,23,33,27,59,79,57,36,18,29,13
"YIPF1",79,24,36,25,50,33,19,90,10,22,77
"HSPB11",471,194,221,204,231,453,234,504,149,418,456
"LRRC42",59,17,40,50,28,93,64,95,36,48,66
"TMEM59",1073,506,472,364,576,849,614,665,454,825,688
"TCEANC2",535,297,377,270,210,401,338,215,178,275,338
"CYB5RL",199,47,28,27,101,29,14,43,42,29,30
"MRPL37",137,93,70,112,109,195,94,136,71,125,104
"SSBP3",133,130,90,89,135,96,55,56,57,40,55
"MROH7",3,181,0,0,51,77,39,30,171,0,99
"MROH7-TTC4",1079,668,747,626,856,3359,1819,2602,1559,1956,1766
"TTC4",1172,702,790,725,976,3742,2147,2874,1669,2185,1916
"PARS2",23,1,0,7,7,7,2,12,18,0,9
"TTC22",3,0,0,0,0,52,70,99,71,46,54
"DHCR24",322,262,218,255,232,418,292,433,216,278,348
"USP24",557,534,441,535,560,1150,748,924,378,811,745
"DAB1",23,19,8,28,67,32,11,0,1,14,7
"OMA1",38,38,53,59,97,52,25,21,4,22,14
"TACSTD2",1,11,30,8,15,1,1,1,0,0,0
"MYSM1",921,436,572,412,552,986,734,908,477,758,743
