"","Ctr_1","Ctr_2","Ctr_3","Ctr_4","Ctr_5","PAMP_1","PAMP_2","PAMP_3","PAMP_4","PAMP_5","PAMP_6"
"RNU11",67,84,99,83,78,113,102,114,68,48,74
"Metazoa_SRP",21,71,55,30,1,26,44,36,49,18,26
"SNORA62",5,15,9,4,11,7,12,7,14,6,4
"RPL5P4",33,15,25,19,10,46,40,26,23,32,36
"ZMYM4-AS1",51,51,40,62,45,88,44,101,44,69,37
"SNORA63",35,18,48,25,25,65,27,18,22,11,17
"PPIEL",58,59,13,34,36,17,17,0,15,3,28
"NFYC-AS1",167,105,91,57,105,125,89,122,84,97,129
"SLFNL1-AS1",7,6,11,1,0,33,7,1,0,30,16
"SZT2-AS1",3,33,0,35,23,5,25,2,0,24,17
"KDM4A-AS1",158,159,78,156,118,205,149,261,126,170,205
"RNU5D-1",0,14,22,1,1,0,0,12,1,3,1
"SNORD46",21,88,75,27,40,76,17,30,30,43,0
"SNORD38A",9,0,10,0,7,14,22,10,11,5,8
"MKNK1-AS1",109,119,46,53,45,8,14,9,6,17,30
"EFCAB14-AS1",60,43,52,62,68,89,86,78,39,56,48
"SSBP3-AS1",20,7,19,12,5,31,6,13,12,7,9
"LINC01135",20,0,0,1,10,10,0,0,3,7,6
"LINC01358",5,2,4,1,3,390,274,414,185,323,277
"ROR1-AS1",676,436,583,646,825,2305,1758,2413,1026,1326,1273
"ZRANB2-AS1",58,47,37,32,63,67,52,104,53,70,42
"SNORD45B",24,20,9,12,22,10,12,19,14,11,13
"TPI1P1",18,23,12,12,19,10,10,8,4,11,8
"NSRP1P1",37,10,24,7,19,12,8,18,6,15,12
"SPATA1",138,52,63,74,80,103,74,127,36,112,87
"PKN2-AS1",0,0,0,5,0,269,2484,459,81,110,24
"PTGES3P1",7,19,4,8,3,41,26,0,3,19,75
"GBP1P1",6,13,0,3,0,355,186,234,151,380,341
"GEMIN8P4",0,0,5,5,0,23,3,10,4,7,3
"U3",44,28,48,25,28,42,74,44,45,29,32
"SNORD21",10,29,6,19,20,11,9,14,12,13,4
"SNORA51",30,12,0,17,8,11,3,0,4,3,12
"CCDC18-AS1",74,111,54,111,81,122,75,98,70,52,86
"EEF1A1P11",57,82,76,87,52,96,84,80,36,85,48
"RPL7P9",87,84,62,60,77,62,35,53,28,32,58
"DPYD-AS1",14,16,12,17,17,10,0,9,0,2,11
"RTCA-AS1",0,0,20,44,10,0,0,0,0,4,8
"SCARNA2",1,1,8,6,7,15,12,1,12,13,7
"SNORA25",0,13,10,3,5,36,15,48,37,22,2
"LAMTOR5-AS1",144,129,107,95,85,130,75,92,76,82,87
"LINC01160",133,91,204,195,149,6,48,16,0,27,8
"SLC16A1-AS1",16,25,0,29,15,20,1,28,21,9,11
"AP4B1-AS1",134,59,64,78,94,49,25,60,39,23,31
"RNY1P13",22,6,17,13,4,13,23,11,11,14,9
"ATP1A1-AS1",1296,889,837,867,1178,526,301,374,238,294,270
"NAP1L4P1",115,58,49,88,74,60,50,64,40,41,47
"SNORA40",50,7,0,9,30,27,3,10,14,19,17
"HSD3BP5",451,84,47,193,323,0,0,0,0,0,0
"7SK",0,0,129,1,115,0,0,921,281,2,12
"U1",47,32,36,11,60,39,103,121,72,49,73
"PFN1P2",38,7,5,3,9,32,16,8,32,8,46
"NBPF8",966,643,594,625,733,1919,1405,1711,865,1435,1414
"U2",1,9,15,6,8,14,13,12,4,10,4
"RNVU1-19",0,28,33,6,18,36,35,21,10,12,14
"LINC00623",44,34,19,28,40,128,126,125,79,106,103
"EMBP1",0,0,0,0,0,0,0,0,2,6,12
"RNVU1-18",0,19,1,13,5,0,38,9,3,4,4
"SRGAP2D",35,10,21,13,11,12,9,33,5,13,36
"RNVU1-15",0,9,8,3,2,0,1,0,3,3,2
"RNVU1-14",0,7,2,7,13,5,10,24,9,0,7
"NBPF25P",150,54,68,91,133,251,202,210,123,176,116
"GNRHR2",477,170,203,228,391,312,213,227,160,203,135
"RNVU1-8",0,0,10,10,4,0,0,0,6,0,2
"PDIA3P1",76,79,74,110,83,132,189,158,40,142,98
"LINC00624",2,16,0,20,7,13,2,2,0,12,5
