,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
DAZAP1,1329,1619,1458,1480,1568,1489,1150,3540
RPS15,2932,4570,2427,3304,3032,2034,2569,5417
APC2,10,13,12,27,13,23,11,17
C19orf25,60,51,69,59,149,53,47,155
PCSK4,0,6,3,0,6,0,3,31
REEP6,11,19,14,0,3,0,0,42
ADAMTSL5,0,0,0,1,0,0,0,1
PLK5,0,0,0,8,0,0,0,0
MEX3D,29,22,32,31,19,17,12,40
MBD3,667,888,635,770,477,506,411,1203
UQCR11,216,268,179,271,234,182,199,370
TCF3,423,604,446,443,469,559,501,1702
ONECUT3,2,0,0,18,0,0,0,12
ATP8B3,16,21,27,28,34,23,5,41
REXO1,492,838,762,520,614,620,448,1635
KLF16,78,100,123,94,107,89,50,211
ABHD17A,423,417,457,351,253,274,134,827
SCAMP4,111,140,146,93,114,109,73,348
ADAT3,16,26,26,21,8,10,10,55
CSNK1G2,2200,3976,3609,2511,2533,1837,1208,5821
BTBD2,122,235,241,153,170,123,105,393
MKNK2,1435,2556,2096,1447,1266,1158,891,3899
MOB3A,1160,1649,1427,1250,1421,837,1094,2633
IZUMO4,34,77,29,47,71,92,133,126
AP3D1,5339,8627,7497,5172,2979,2256,1971,11981
DOT1L,2056,2306,2585,1961,2654,2789,2219,7208
PLEKHJ1,602,930,740,601,676,549,550,2003
SF3A2,589,982,759,637,574,445,442,1672
AMH,0,0,8,0,0,2,0,0
JSRP1,921,1032,792,763,740,558,645,1648
OAZ1,3506,4977,3525,3396,3360,2520,2689,7325
LINGO3,138,159,239,80,64,21,7,192
LSM7,176,270,152,125,112,86,95,359
SPPL2B,222,361,349,269,222,223,127,571
TMPRSS9,18,32,21,25,10,11,11,33
TIMM13,149,222,116,147,69,66,64,206
LMNB2,1434,1712,1184,1553,2751,2524,2728,6977
GADD45B,13387,11197,12238,10774,8559,13353,10286,21303
GNG7,186,311,271,175,216,147,92,408
DIRAS1,113,152,108,123,114,72,135,232
SLC39A3,207,297,171,198,113,80,86,284
SGTA,812,972,854,798,436,463,441,1111
THOP1,399,304,279,252,197,193,180,645
ZNF554,64,32,51,22,0,12,2,40
ZNF555,188,128,154,93,36,70,45,215
