"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WIERENGA_STAT5A_TARGETS_UP","WIERENGA_STAT5A_TARGETS_UP","WIERENGA_STAT5A_TARGETS_UP",160,0.4732491388582,1.56224266365419,0.00146664847184365,0.00293329694368729,NA,1968,"tags=38%, list=16%, signal=32%","IL7R/SOCS2/LAMP3/CCL22/CCDC102A/TNFRSF4/CCR7/NCS1/TNFAIP8L3/CBS/HILPDA/A4GALT/COL6A1/ST3GAL5/MAOA/CD1B/TRAF1/MAP1A/ADGRG5/CDKN1C/TUBB2B/CCL5/IL4I1/CFH/DUSP5/FCER2/CIART/DAPK1/POU2F1/DHRS3/SAMSN1/ANTXR2/FGF11/IGFBP4/MAPK13/AMACR/TJP2/ITGA2/PGM2L1/SLC25A4/PLXNA3/TGFBR1/CSF2/RABGAP1/P2RX4/CD83/BTG1/CKAP4/CCL2/GNPTAB/MYO10/CST7/STAP1/RNF144A/FNDC3B/XIRP1/GBP4/SQSTM1/CXCL10/LTB"
"WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY","WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY","WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY",37,0.564453667018792,1.55435404011185,0.0139699911880575,0.0139699911880575,NA,1716,"tags=30%, list=14%, signal=26%","IL7R/CRLF2/STAT4/RELB/NFKB1/JAK1/MAPK8/PIK3CA/NFKB2/PI4K2A/STAT5A"
